Variable,Index,Run,Cycle,Iteration,Distance,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdingDistance
0.10,9,31,1000,2,3.627024e+02,8,10009,-3.627574e+02,-3.0,0,0,0.21331922045909774
0.10,9,31,1000,2,3.627024e+02,9,6436,-3.628226e+02,-1.0,0,0,0.16794187781608821
0.10,9,15,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,15,1000,2,3.626998e+02,0,9542,-3.626620e+02,-18.0,0,0,Infinity
0.10,9,15,1000,2,3.626998e+02,1,3833,-3.679707e+02,3.0,9,0,Infinity
0.10,9,15,1000,2,3.626998e+02,2,3753,-3.628527e+02,0.0,0,0,1.1654199334780695
0.10,9,15,1000,2,3.626998e+02,3,9962,-3.626633e+02,-13.0,0,0,0.38138079983538853
0.10,9,15,1000,2,3.626998e+02,4,9684,-3.626643e+02,-10.0,0,0,0.23896588767926089
0.10,9,15,1000,2,3.626998e+02,5,9037,-3.626679e+02,-8.0,0,0,0.19483833979649556
0.10,9,15,1000,2,3.626998e+02,6,2090,-3.627468e+02,-4.0,0,0,0.15432147833407053
0.10,9,15,1000,2,3.626998e+02,7,8670,-3.626874e+02,-6.0,0,0,0.15228479537122308
0.10,9,15,1000,2,3.626998e+02,8,5879,-3.627788e+02,-2.0,0,0,0.15194212448457456
0.10,9,15,1000,2,3.626998e+02,9,2776,-3.627950e+02,-1.0,0,0,0.10916228899626851
0.10,9,41,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,41,1000,2,3.626977e+02,0,9626,-3.679714e+02,3.0,9,0,Infinity
0.10,9,41,1000,2,3.626977e+02,1,4861,-3.626592e+02,-18.0,0,0,Infinity
0.10,9,41,1000,2,3.626977e+02,2,5725,-3.628571e+02,0.0,0,0,1.216544201490923
0.10,9,41,1000,2,3.626977e+02,3,9344,-3.626593e+02,-14.0,0,0,0.2858317087015927
0.10,9,41,1000,2,3.626977e+02,4,6176,-3.626598e+02,-12.0,0,0,0.23850413436491133
0.10,9,41,1000,2,3.626977e+02,5,9048,-3.627737e+02,-2.0,0,0,0.20943450003022304
0.10,9,41,1000,2,3.626977e+02,6,7458,-3.627564e+02,-4.0,0,0,0.2067094640116513
0.10,9,41,1000,2,3.626977e+02,7,9268,-3.626874e+02,-6.0,0,0,0.15805958414303176
0.10,9,41,1000,2,3.626977e+02,8,3993,-3.626615e+02,-9.0,0,0,0.14467641138554402
0.10,9,41,1000,2,3.626977e+02,9,6070,-3.626756e+02,-7.0,0,0,0.09830204291396735
0.10,9,48,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,48,1000,2,3.626998e+02,0,8373,-3.679707e+02,3.0,9,0,Infinity
0.10,9,48,1000,2,3.626998e+02,1,6178,-3.626593e+02,-17.0,0,0,Infinity
0.10,9,48,1000,2,3.626998e+02,2,7464,-3.628527e+02,0.0,0,0,1.1744391441582318
0.10,9,48,1000,2,3.626998e+02,3,7224,-3.626615e+02,-9.0,0,0,0.30520101352980605
0.10,9,48,1000,2,3.626998e+02,4,8376,-3.626598e+02,-12.0,0,0,0.2504089427683026
0.10,9,48,1000,2,3.626998e+02,5,9046,-3.626593e+02,-14.0,0,0,0.25010464038318747
0.10,9,48,1000,2,3.626998e+02,6,2462,-3.627574e+02,-3.0,0,0,0.21451210577490012
0.10,9,48,1000,2,3.626998e+02,7,6648,-3.626874e+02,-6.0,0,0,0.21062694969066525
0.10,9,48,1000,2,3.626998e+02,8,7469,-3.627950e+02,-1.0,0,0,0.16794187959574355
0.10,9,48,1000,2,3.626998e+02,9,9619,-3.627179e+02,-5.0,0,0,0.16317406396962128
0.10,9,12,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,12,1000,2,3.626999e+02,0,8562,-3.626593e+02,-17.0,0,0,Infinity
0.10,9,12,1000,2,3.626999e+02,1,5494,-3.679709e+02,3.0,9,0,Infinity
0.10,9,12,1000,2,3.626999e+02,2,8483,-3.628527e+02,0.0,0,0,1.2274673656074024
0.10,9,12,1000,2,3.626999e+02,3,6095,-3.626598e+02,-12.0,0,0,0.2504089364079828
0.10,9,12,1000,2,3.626999e+02,4,9806,-3.627789e+02,-2.0,0,0,0.2230373066722193
0.10,9,12,1000,2,3.626999e+02,5,9507,-3.627303e+02,-4.0,0,0,0.2172130889557978
0.10,9,12,1000,2,3.626999e+02,6,9150,-3.626875e+02,-6.0,0,0,0.2111417528974296
0.10,9,12,1000,2,3.626999e+02,7,2803,-3.626615e+02,-9.0,0,0,0.20213677523380683
0.10,9,12,1000,2,3.626999e+02,8,9185,-3.626593e+02,-14.0,0,0,0.20009203524407104
0.10,9,12,1000,2,3.626999e+02,9,9350,-3.626712e+02,-8.0,0,0,0.15489799488383071
0.10,9,6,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,6,1000,2,3.627032e+02,0,8472,-3.679707e+02,3.0,9,0,Infinity
0.10,9,6,1000,2,3.627032e+02,1,7964,-3.626593e+02,-17.0,0,0,Infinity
0.10,9,6,1000,2,3.627032e+02,2,8978,-3.628527e+02,0.0,0,0,1.169258591788171
0.10,9,6,1000,2,3.627032e+02,3,6372,-3.626615e+02,-9.0,0,0,0.254989436382569
0.10,9,6,1000,2,3.627032e+02,4,8374,-3.626605e+02,-12.0,0,0,0.2504082121861866
0.10,9,6,1000,2,3.627032e+02,5,9772,-3.626593e+02,-14.0,0,0,0.2502218464791443
0.10,9,6,1000,2,3.627032e+02,6,7569,-3.626870e+02,-7.0,0,0,0.20682251355624015
0.10,9,6,1000,2,3.627032e+02,7,4398,-3.627590e+02,-4.0,0,0,0.1642912612160905
0.10,9,6,1000,2,3.627032e+02,8,8465,-3.626977e+02,-5.0,0,0,0.16355669444033372
0.10,9,6,1000,2,3.627032e+02,9,2456,-3.627736e+02,-2.0,0,0,0.1619734309097819
0.10,9,49,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,49,1000,2,3.627024e+02,0,4916,-3.626592e+02,-18.0,0,0,Infinity
0.10,9,49,1000,2,3.627024e+02,1,4873,-3.679707e+02,3.0,9,0,Infinity
0.10,9,49,1000,2,3.627024e+02,2,5303,-3.628527e+02,0.0,0,0,1.2165477088998793
0.10,9,49,1000,2,3.627024e+02,3,7349,-3.626615e+02,-9.0,0,0,0.2419527016522152
0.10,9,49,1000,2,3.627024e+02,4,5660,-3.626598e+02,-12.0,0,0,0.23844959773834423
0.10,9,49,1000,2,3.627024e+02,5,4728,-3.627737e+02,-2.0,0,0,0.2094365590157276
0.10,9,49,1000,2,3.627024e+02,6,7797,-3.626803e+02,-7.0,0,0,0.205566748800772
0.10,9,49,1000,2,3.627024e+02,7,9577,-3.626596e+02,-14.0,0,0,0.19058068578309922
0.10,9,49,1000,2,3.627024e+02,8,6143,-3.626593e+02,-16.0,0,0,0.19055027988347484
0.10,9,49,1000,2,3.627024e+02,9,2430,-3.627416e+02,-5.0,0,0,0.15635603112668434
0.10,9,27,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,27,1000,2,3.626998e+02,0,8852,-3.679707e+02,3.0,9,0,Infinity
0.10,9,27,1000,2,3.626998e+02,1,6812,-3.679707e+02,3.0,9,0,Infinity
0.10,9,27,1000,2,3.626998e+02,2,5132,-3.626593e+02,-16.0,0,0,Infinity
0.10,9,27,1000,2,3.626998e+02,3,9254,-3.628527e+02,0.0,0,0,1.2416154527721703
0.10,9,27,1000,2,3.626998e+02,4,8857,-3.626615e+02,-9.0,0,0,0.32086698423774146
0.10,9,27,1000,2,3.626998e+02,5,4667,-3.626874e+02,-6.0,0,0,0.2761051699389918
0.10,9,27,1000,2,3.626998e+02,6,7804,-3.626605e+02,-12.0,0,0,0.2635668442659949
0.10,9,27,1000,2,3.626998e+02,7,9148,-3.627737e+02,-2.0,0,0,0.2335788423833624
0.10,9,27,1000,2,3.626998e+02,8,9699,-3.627303e+02,-4.0,0,0,0.22676324822730418
0.10,9,27,1000,2,3.626998e+02,9,8260,-3.626593e+02,-14.0,0,0,0.2107543147627839
0.10,9,47,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,47,1000,2,3.626976e+02,0,4533,-3.679707e+02,3.0,9,0,Infinity
0.10,9,47,1000,2,3.626976e+02,1,4242,-3.626593e+02,-17.0,0,0,Infinity
0.10,9,47,1000,2,3.626976e+02,2,4289,-3.628527e+02,0.0,0,0,1.1744323339793927
0.10,9,47,1000,2,3.626976e+02,3,2965,-3.626615e+02,-9.0,0,0,0.2528440075521952
0.10,9,47,1000,2,3.626976e+02,4,2169,-3.626605e+02,-12.0,0,0,0.25035412074385033
0.10,9,47,1000,2,3.626976e+02,5,6219,-3.627180e+02,-5.0,0,0,0.2154097006917933
0.10,9,47,1000,2,3.626976e+02,6,8938,-3.627574e+02,-3.0,0,0,0.2145070191463291
0.10,9,47,1000,2,3.626976e+02,7,8977,-3.626756e+02,-7.0,0,0,0.21063917295659035
0.10,9,47,1000,2,3.626976e+02,8,9659,-3.627951e+02,-1.0,0,0,0.16793977283024442
0.10,9,47,1000,2,3.626976e+02,9,8102,-3.626596e+02,-14.0,0,0,0.15021553092047496
0.10,9,45,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,45,1000,2,3.627018e+02,0,8942,-3.679707e+02,3.0,9,0,Infinity
0.10,9,45,1000,2,3.627018e+02,1,6630,-3.626592e+02,-17.0,0,0,Infinity
0.10,9,45,1000,2,3.627018e+02,2,3720,-3.628527e+02,0.0,0,0,1.174427172424638
0.10,9,45,1000,2,3.627018e+02,3,5480,-3.626615e+02,-9.0,0,0,0.253756833245141
0.10,9,45,1000,2,3.627018e+02,4,4647,-3.626598e+02,-12.0,0,0,0.2504089445084041
0.10,9,45,1000,2,3.627018e+02,5,6736,-3.626593e+02,-14.0,0,0,0.25011120181039936
0.10,9,45,1000,2,3.627018e+02,6,7889,-3.627627e+02,-3.0,0,0,0.2183220371035448
0.10,9,45,1000,2,3.627018e+02,7,5783,-3.626977e+02,-5.0,0,0,0.2156136689197511
0.10,9,45,1000,2,3.627018e+02,8,6678,-3.626798e+02,-7.0,0,0,0.20682242585592964
0.10,9,45,1000,2,3.627018e+02,9,9637,-3.627950e+02,-1.0,0,0,0.16694622149328892
0.10,9,28,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,28,1000,2,3.626998e+02,0,9692,-3.679707e+02,3.0,9,0,Infinity
0.10,9,28,1000,2,3.626998e+02,1,7261,-3.626592e+02,-18.0,0,0,Infinity
0.10,9,28,1000,2,3.626998e+02,2,8132,-3.628527e+02,0.0,0,0,1.2157232611011841
0.10,9,28,1000,2,3.626998e+02,3,3494,-3.626598e+02,-12.0,0,0,0.2861234826234217
0.10,9,28,1000,2,3.626998e+02,4,4271,-3.626593e+02,-15.0,0,0,0.2858316408297589
0.10,9,28,1000,2,3.626998e+02,5,7290,-3.627780e+02,-2.0,0,0,0.2098348644174693
0.10,9,28,1000,2,3.626998e+02,6,6708,-3.626615e+02,-9.0,0,0,0.19261282736043323
0.10,9,28,1000,2,3.626998e+02,7,7700,-3.627499e+02,-4.0,0,0,0.15796004087261492
0.10,9,28,1000,2,3.626998e+02,8,4519,-3.626874e+02,-6.0,0,0,0.14787222983600878
0.10,9,28,1000,2,3.626998e+02,9,7067,-3.626712e+02,-8.0,0,0,0.14774201034687992
0.10,9,7,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,7,1000,2,3.626998e+02,0,9934,-3.679707e+02,3.0,9,0,Infinity
0.10,9,7,1000,2,3.626998e+02,1,7531,-3.626592e+02,-18.0,0,0,Infinity
0.10,9,7,1000,2,3.626998e+02,2,4469,-3.626592e+02,-18.0,0,0,Infinity
0.10,9,7,1000,2,3.626998e+02,3,8624,-3.628527e+02,0.0,0,0,1.2165444953286426
0.10,9,7,1000,2,3.626998e+02,4,8326,-3.626615e+02,-9.0,0,0,0.290914803949292
0.10,9,7,1000,2,3.626998e+02,5,5558,-3.626598e+02,-12.0,0,0,0.286123483626204
0.10,9,7,1000,2,3.626998e+02,6,9935,-3.626593e+02,-15.0,0,0,0.2858321490405783
0.10,9,7,1000,2,3.626998e+02,7,7518,-3.626874e+02,-6.0,0,0,0.2551372908253844
0.10,9,7,1000,2,3.626998e+02,8,9249,-3.627737e+02,-2.0,0,0,0.20943368107117286
0.10,9,7,1000,2,3.626998e+02,9,9240,-3.627520e+02,-4.0,0,0,0.206708551681487
0.10,9,36,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,36,1000,2,3.626976e+02,0,9262,-3.679708e+02,3.0,9,0,Infinity
0.10,9,36,1000,2,3.626976e+02,1,7312,-3.626592e+02,-18.0,0,0,Infinity
0.10,9,36,1000,2,3.626976e+02,2,9273,-3.628527e+02,0.0,0,0,1.2104006374702345
0.10,9,36,1000,2,3.626976e+02,3,2673,-3.626615e+02,-9.0,0,0,0.24106269685447207
0.10,9,36,1000,2,3.626976e+02,4,7430,-3.626593e+02,-15.0,0,0,0.23816747566079058
0.10,9,36,1000,2,3.626976e+02,5,9013,-3.628063e+02,-2.0,0,0,0.20940529551864517
0.10,9,36,1000,2,3.626976e+02,6,6779,-3.626756e+02,-7.0,0,0,0.2011176427853925
0.10,9,36,1000,2,3.626976e+02,7,3417,-3.626598e+02,-12.0,0,0,0.19082876005565302
0.10,9,36,1000,2,3.626976e+02,8,7829,-3.627522e+02,-4.0,0,0,0.1594854840279293
0.10,9,36,1000,2,3.626976e+02,9,6980,-3.627180e+02,-5.0,0,0,0.15727704414730082
0.10,9,46,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,46,1000,2,3.626998e+02,0,9812,-3.626592e+02,-18.0,0,0,Infinity
0.10,9,46,1000,2,3.626998e+02,1,7761,-3.626592e+02,-18.0,0,0,Infinity
0.10,9,46,1000,2,3.626998e+02,2,7291,-3.679707e+02,3.0,9,0,Infinity
