Subject, nTasks,SolutionID,F_D,F_C,nViolation,nExecution,avgExecution,nMissedP,nMissedS,nMissedA,minMargin,minMargin, meanMargin,medianMargin,P-value
E-SAIL,25,1, 3327.4,15.0,0, 126376,12637.6,  59,0,0, -44.500000,1879.700000,126.564290,82.100000,  -1.0000
E-SAIL,25,9887, 3184.9,15.0,0, 126376,12637.6,  0,0,0, 48.100000,1879.700000,129.754228,85.700000,  0.0000
E-SAIL,25,9887, 3184.9,15.0,0, 126376,12637.6,  0,0,0, 48.100000,1879.700000,129.754228,85.700000,  0.0000
E-SAIL,25,9887, 3184.9,15.0,0, 126376,12637.6,  0,0,0, 48.100000,1879.700000,129.754228,85.700000,  0.0000
