TestID,Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
1,SEQ,CCS,5,0.083623,0.083623,0.413194,0.420119,0.004274,0.000000,0.062528,0.405172,0.000000
1,SEQ,CCS,6,0.081671,0.081671,0.429212,0.585137,0.004274,0.111111,0.087494,0.405172,0.111111
1,SEQ,CCS,7,0.076820,0.076820,0.418926,0.713739,0.004274,0.000000,0.092819,0.405172,0.000000
1,SEQ,CCS,8,0.082756,0.082753,0.452459,0.641092,0.004274,0.111111,0.081960,0.405172,0.111111
1,SEQ,CCS,9,0.082140,0.082140,0.441860,0.451936,0.000000,0.000000,0.096464,0.000000,0.000000
1,SEQ,CCS,10,0.090569,0.090569,0.390368,0.607151,0.000000,0.000000,0.100020,0.000000,0.000000
1,SEQ,CCS,11,0.079838,0.079830,0.456529,0.321077,0.004274,0.111111,0.064829,0.405172,0.111111
1,SEQ,CCS,12,0.087365,0.087365,0.377253,0.604643,0.004274,0.111111,0.082994,0.405172,0.111111
1,SEQ,CCS,13,0.091368,0.091368,0.407280,0.676646,0.004274,0.111111,0.085137,0.405172,0.111111
1,SEQ,CCS,14,0.076203,0.076203,0.398117,0.581312,0.000000,0.000000,0.081491,0.000000,0.000000
1,SEQ,CCS,15,0.093236,0.093236,0.354740,0.633180,0.000000,0.000000,0.088192,0.000000,0.000000
1,SEQ,CCS,16,0.075070,0.075067,0.432194,0.566360,0.000000,0.000000,0.093743,0.000000,0.000000
1,SEQ,CCS,17,0.084380,0.084380,0.378082,0.625611,0.004274,0.111111,0.098715,0.405172,0.111111
1,SEQ,CCS,18,0.083756,0.083756,0.447393,0.327212,0.004274,0.111111,0.095041,0.405172,0.111111
1,SEQ,CCS,19,0.087058,0.087058,0.395399,0.486274,0.004274,0.000000,0.095410,0.405172,0.000000
1,SEQ,CCS,20,0.084581,0.084573,0.445685,0.439843,0.000000,0.000000,0.104226,0.000000,0.000000
1,SEQ,CCS,21,0.089234,0.089234,0.399782,0.492414,0.000000,0.000000,0.099052,0.000000,0.000000
1,SEQ,CCS,22,0.082655,0.082655,0.380914,0.564816,0.000000,0.000000,0.086337,0.000000,0.000000
1,SEQ,CCS,23,0.089601,0.089601,0.382332,0.551507,0.008475,0.111111,0.069617,0.405172,0.111111
1,SEQ,CCS,24,0.084207,0.084207,0.447476,0.348575,0.008475,0.111111,0.088860,0.405172,0.111111
1,SEQ,CCS,25,0.087731,0.087731,0.377057,0.559784,0.000000,0.000000,0.095948,0.000000,0.000000
1,SEQ,CCS,26,0.094564,0.094564,0.356424,0.632549,0.004274,0.111111,0.094017,0.405172,0.111111
1,SEQ,CCS,27,0.073845,0.073845,0.451238,0.584226,0.004274,0.111111,0.090753,0.405172,0.111111
1,SEQ,CCS,28,0.084469,0.084466,0.444991,0.885726,0.000000,0.000000,0.102661,0.000000,0.000000
1,SEQ,CCS,29,0.078777,0.078777,0.412429,0.539540,0.000000,0.000000,0.060617,0.000000,0.000000
1,SEQ,CCS,30,0.082848,0.082848,0.532389,0.868800,0.000000,0.000000,0.149151,0.000000,0.000000
1,SEQ,CCS,31,0.080045,0.080043,0.416354,0.678364,0.000000,0.000000,0.082951,0.000000,0.000000
1,SEQ,CCS,32,0.084868,0.084865,0.411841,0.488962,0.000000,0.000000,0.105559,0.000000,0.000000
1,SEQ,CCS,33,0.083138,0.083138,0.440358,0.529819,0.000000,0.000000,0.078857,0.000000,0.000000
1,SEQ,CCS,34,0.084584,0.084582,0.409734,0.919822,0.000000,0.000000,0.089844,0.000000,0.000000
1,SEQ,CCS,35,0.085701,0.085698,0.438701,0.557529,0.004274,0.111111,0.065114,0.405172,0.111111
1,SEQ,CCS,36,0.085545,0.085545,0.408640,0.650204,0.004274,0.111111,0.074185,0.405172,0.111111
1,SEQ,CCS,37,0.075532,0.075528,0.447697,0.621411,0.000000,0.000000,0.085604,0.000000,0.000000
1,SEQ,CCS,38,0.080627,0.080627,0.422512,0.498011,0.000000,0.000000,0.073250,0.000000,0.000000
1,SEQ,CCS,39,0.079408,0.079406,0.456639,0.529229,0.004274,0.000000,0.075526,0.405172,0.000000
1,SEQ,CCS,40,0.081760,0.081760,0.442234,0.462807,0.000000,0.000000,0.080726,0.000000,0.000000
1,SEQ,CCS,41,0.081122,0.081122,0.386653,0.642005,0.000000,0.000000,0.089976,0.000000,0.000000
1,SEQ,CCS,42,0.097283,0.097283,0.341685,0.683788,0.000000,0.000000,0.063930,0.000000,0.000000
1,SEQ,CCS,43,0.080141,0.080133,0.452681,0.413766,0.000000,0.000000,0.059554,0.000000,0.000000
1,SEQ,CCS,44,0.075429,0.075429,0.404390,0.704171,0.000000,0.000000,0.082168,0.000000,0.000000
1,SEQ,CCS,45,0.083893,0.083893,0.411403,0.178047,0.008475,0.111111,0.091471,0.405172,0.111111
1,SEQ,CCS,46,0.083836,0.083836,0.410620,0.616164,0.000000,0.000000,0.082072,0.000000,0.000000
1,SEQ,CCS,47,0.082837,0.082837,0.407157,0.610268,0.000000,0.000000,0.061700,0.000000,0.000000
1,SEQ,CCS,48,0.083496,0.083496,0.427972,0.346380,0.000000,0.000000,0.075789,0.000000,0.000000
1,SEQ,CCS,49,0.074861,0.074861,0.423365,0.611311,0.008475,0.111111,0.109993,0.405172,0.111111
1,SEQ,CCS,50,0.076773,0.076773,0.439167,0.375859,0.000000,0.000000,0.092586,0.000000,0.000000
1,OPAM,ESAIL,1,0.036329,0.036329,0.963671,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,2,0.005814,0.005814,0.991777,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,3,0.023134,0.023134,0.976866,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,4,0.005085,0.005085,0.989830,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,5,0.004756,0.004756,0.991762,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,6,0.004371,0.004371,0.995629,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,7,0.000475,0.000475,0.998658,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,8,0.014494,0.014494,0.985506,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,9,0.001514,0.001514,0.998486,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,10,0.010616,0.010616,0.989384,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,11,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
1,OPAM,ESAIL,12,0.001633,0.001633,0.997690,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,13,0.013689,0.013689,0.986311,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,14,0.005934,0.005934,0.994066,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,15,0.002499,0.002499,0.996467,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,16,0.001055,0.001055,0.998509,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,17,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
1,OPAM,ESAIL,18,0.005308,0.005308,0.989384,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,19,0.001313,0.001313,0.996783,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,20,0.010616,0.010616,0.989384,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,21,0.009123,0.009123,0.987098,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,22,0.003781,0.003781,0.988042,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,23,0.044227,0.044227,0.901106,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,24,0.003780,0.003780,0.993452,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,25,0.005432,0.005432,0.987853,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,26,0.084791,0.084791,0.880087,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,27,0.001033,0.001033,0.997690,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,28,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
1,OPAM,ESAIL,29,0.023706,0.023706,0.966474,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,30,0.016358,0.016358,0.976866,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,31,0.011170,0.011170,0.980653,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
