Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,12,1,0,0,-802.1858522278294,-46.0,2123,0,0.0
UAV,12,1,1,1,-802.4316154132965,10.0,2500,0,0.0
UAV,12,1,2,2,-802.1954904245623,-32.0,2111,0,0.0
UAV,12,1,3,3,-802.383876542954,2.0,125,0,0.0
UAV,12,1,4,4,-802.3690877994962,-6.0,0,0,0.0
UAV,12,1,5,5,-802.3238786013483,-13.0,27,0,0.0
UAV,12,1,6,6,-802.3574357134869,-2.0,1000,0,0.0
UAV,12,1,7,7,-802.2335458235561,-22.0,1923,0,0.0
UAV,12,1,8,8,-802.2179184491773,-26.0,1484,0,0.0
UAV,12,1,9,9,-802.2771504284042,-15.0,2925,0,0.0
UAV,6,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,6,1,1,1,-802.185660334855,-43.0,2122,0,0.0
UAV,6,1,2,2,-802.185660334855,-43.0,2122,0,0.0
UAV,6,1,3,3,-802.4316154132965,10.0,2500,0,0.0
UAV,6,1,4,4,-802.2954277543281,-19.0,3064,0,0.0
UAV,6,1,5,5,-802.2066417418646,-30.0,1801,0,0.0
UAV,6,1,6,6,-802.3765858131582,-5.0,1066,0,0.0
UAV,6,1,7,7,-802.3187959522443,-12.0,305,0,0.0
UAV,6,1,8,8,-802.3855845213947,3.0,881,0,0.0
UAV,6,1,9,9,-802.3369065372808,-10.0,3865,0,0.0
UAV,49,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,49,1,1,1,-802.1860948699025,-41.0,2123,0,0.0
UAV,49,1,2,2,-802.4316154132965,10.0,2500,0,0.0
UAV,49,1,3,3,-802.2423367635121,-34.0,2111,0,0.0
UAV,49,1,4,4,-802.2815554346907,-17.0,3005,0,0.0
UAV,49,1,5,5,-802.2364819215314,-24.0,788,0,0.0
UAV,49,1,6,6,-802.3840850117303,4.0,0,0,0.0
UAV,49,1,7,7,-802.360188022311,-1.0,0,0,0.0
UAV,49,1,8,8,-802.3533520333508,-14.0,0,0,0.0
UAV,49,1,9,9,-802.3449833517706,-9.0,3865,0,0.0
UAV,27,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,27,1,1,1,-802.1858170577908,-43.0,2123,0,0.0
UAV,27,1,2,2,-802.1858114367374,-43.0,2123,0,0.0
UAV,27,1,3,3,-802.4316154132965,10.0,2500,0,0.0
UAV,27,1,4,4,-802.2219610639935,-25.0,1710,0,0.0
UAV,27,1,5,5,-802.3593040215668,-6.0,0,0,0.0
UAV,27,1,6,6,-802.2587913300076,-22.0,2055,0,0.0
UAV,27,1,7,7,-802.3054401209763,-14.0,1546,0,0.0
UAV,27,1,8,8,-802.3021962436846,-7.0,1829,0,0.0
UAV,27,1,9,9,-802.3963663838339,4.0,0,0,0.0
