TestID,Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
1,OPAM,CCS,1,0.051621,0.051514,0.483580,0.760269,0.000000,0.000000,0.188070,0.000000,0.000000
1,OPAM,CCS,2,0.054427,0.053688,0.544589,1.038671,0.000000,0.000000,0.165987,0.000000,0.000000
1,OPAM,CCS,3,0.046693,0.046693,0.394673,0.934081,0.000000,0.000000,0.101417,0.000000,0.000000
1,OPAM,CCS,4,0.044661,0.044645,0.522146,0.652132,0.000000,0.000000,0.189545,0.000000,0.000000
1,OPAM,CCS,5,0.053118,0.052906,0.513683,0.638165,0.012500,0.076923,0.157089,0.071429,0.076923
1,OPAM,CCS,6,0.058893,0.058585,0.462374,0.640289,0.000000,0.000000,0.187177,0.000000,0.000000
1,OPAM,CCS,7,0.055370,0.055156,0.517199,0.732630,0.000000,0.000000,0.115792,0.000000,0.000000
1,OPAM,CCS,8,0.054236,0.054065,0.492750,0.652865,0.000000,0.000000,0.076348,0.000000,0.000000
1,OPAM,CCS,9,0.054464,0.054464,0.395491,0.868796,0.011905,0.076923,0.283253,0.023810,0.076923
1,OPAM,CCS,10,0.042862,0.040779,0.512685,0.846816,0.011628,0.000000,0.097573,0.119048,0.000000
1,OPAM,CCS,11,0.032292,0.030992,0.485757,0.809669,0.000000,0.000000,0.061087,0.000000,0.000000
1,OPAM,CCS,12,0.051924,0.051836,0.513153,0.762216,0.000000,0.000000,0.136661,0.000000,0.000000
1,OPAM,CCS,13,0.058124,0.058122,0.433579,0.809676,0.000000,0.000000,0.106338,0.000000,0.000000
1,OPAM,CCS,14,0.067112,0.067032,0.389083,0.590611,0.000000,0.000000,0.021519,0.000000,0.000000
1,OPAM,CCS,15,0.057845,0.057676,0.400746,0.900378,0.000000,0.000000,0.061270,0.000000,0.000000
1,OPAM,CCS,16,0.052460,0.052460,0.433743,0.735441,0.000000,0.000000,0.118603,0.000000,0.000000
1,OPAM,CCS,17,0.045215,0.045006,0.539351,0.559847,0.011628,0.076923,0.096534,0.023810,0.076923
1,OPAM,CCS,18,0.051834,0.051834,0.502244,0.975788,0.000000,0.000000,0.146440,0.000000,0.000000
1,OPAM,CCS,19,0.057139,0.057139,0.392068,0.861889,0.000000,0.000000,0.054518,0.000000,0.000000
1,OPAM,CCS,20,0.051251,0.050431,0.539364,0.424592,0.000000,0.000000,0.134121,0.000000,0.000000
1,OPAM,CCS,21,0.050800,0.050800,0.489384,0.726722,0.012500,0.076923,0.082342,0.071429,0.076923
1,OPAM,CCS,22,0.038991,0.038731,0.546606,0.574854,0.013158,0.076923,0.060096,0.119048,0.076923
1,OPAM,CCS,23,0.048892,0.048892,0.351153,0.628862,0.000000,0.000000,0.098110,0.000000,0.000000
1,OPAM,CCS,24,0.054311,0.054309,0.481045,0.758031,0.000000,0.000000,0.080673,0.000000,0.000000
1,OPAM,CCS,25,0.056343,0.056330,0.407821,0.795848,0.000000,0.000000,0.085512,0.000000,0.000000
1,OPAM,CCS,26,0.053586,0.053586,0.502316,0.572282,0.013158,0.076923,0.088031,0.119048,0.076923
1,OPAM,CCS,27,0.058296,0.055942,0.447190,0.750518,0.000000,0.000000,0.044472,0.000000,0.000000
1,OPAM,CCS,28,0.036408,0.035628,0.481577,0.557141,0.000000,0.000000,0.087551,0.000000,0.000000
1,OPAM,CCS,29,0.053735,0.053306,0.509740,0.588615,0.000000,0.000000,0.270066,0.000000,0.000000
1,OPAM,CCS,30,0.054279,0.053737,0.529950,0.704278,0.038462,0.153846,0.098480,0.142857,0.153846
1,OPAM,CCS,31,0.048647,0.048647,0.552184,0.496078,0.000000,0.000000,0.052602,0.000000,0.000000
1,OPAM,CCS,32,0.050737,0.050435,0.402379,0.640843,0.000000,0.000000,0.157586,0.000000,0.000000
1,OPAM,CCS,33,0.039786,0.037803,0.540936,0.826974,0.000000,0.000000,0.063734,0.000000,0.000000
1,OPAM,CCS,34,0.045691,0.045573,0.527803,0.905231,0.000000,0.000000,0.136968,0.000000,0.000000
1,OPAM,CCS,35,0.059850,0.059719,0.392873,0.900080,0.000000,0.000000,0.063201,0.000000,0.000000
1,OPAM,CCS,36,0.050112,0.050112,0.400414,0.611844,0.000000,0.000000,0.069260,0.000000,0.000000
1,OPAM,CCS,37,0.051474,0.051043,0.460229,0.532157,0.000000,0.000000,0.075431,0.000000,0.000000
1,OPAM,CCS,38,0.057450,0.057314,0.472881,0.892279,0.011628,0.076923,0.103806,0.071429,0.076923
1,OPAM,CCS,39,0.072195,0.072195,0.477396,0.709553,0.000000,0.000000,0.276370,0.000000,0.000000
1,OPAM,CCS,40,0.049371,0.049371,0.423972,1.191159,0.000000,0.000000,0.204493,0.000000,0.000000
1,OPAM,CCS,41,0.059161,0.059161,0.507740,0.746127,0.011628,0.076923,0.151161,0.023810,0.076923
1,OPAM,CCS,42,0.051080,0.051080,0.517936,0.926636,0.000000,0.000000,0.155092,0.000000,0.000000
1,OPAM,CCS,43,0.050191,0.050191,0.490306,1.060967,0.000000,0.000000,0.067911,0.000000,0.000000
1,OPAM,CCS,44,0.052526,0.051918,0.442210,0.657259,0.011905,0.076923,0.238069,0.023810,0.076923
1,OPAM,CCS,45,0.041087,0.041035,0.457338,0.686130,0.000000,0.000000,0.044583,0.000000,0.000000
1,OPAM,CCS,46,0.051622,0.051622,0.516625,0.662600,0.000000,0.000000,0.146281,0.000000,0.000000
1,OPAM,CCS,47,0.054477,0.054303,0.357775,0.920913,0.000000,0.000000,0.026274,0.000000,0.000000
1,OPAM,CCS,48,0.046056,0.046056,0.486597,0.953528,0.000000,0.000000,0.013490,0.000000,0.000000
1,OPAM,CCS,49,0.039248,0.038533,0.554127,0.874216,0.011628,0.076923,0.090867,0.023810,0.076923
1,OPAM,CCS,50,0.053352,0.052213,0.462561,0.797708,0.000000,0.000000,0.087895,0.000000,0.000000
1,SEQ,CCS,1,0.039691,0.039669,0.567396,0.711649,0.022727,0.076923,0.101077,0.523810,0.076923
1,SEQ,CCS,2,0.027173,0.026930,0.568021,0.826388,0.000000,0.000000,0.083518,0.000000,0.000000
1,SEQ,CCS,3,0.034249,0.034138,0.544394,0.621357,0.000000,0.000000,0.098486,0.000000,0.000000
1,SEQ,CCS,4,0.032973,0.032544,0.566627,0.532379,0.020833,0.076923,0.075724,0.452381,0.076923
1,SEQ,CCS,5,0.033165,0.033040,0.555964,0.877293,0.011628,0.000000,0.071269,0.452381,0.000000
1,SEQ,CCS,6,0.029459,0.029065,0.566711,0.578384,0.000000,0.000000,0.072602,0.000000,0.000000
1,SEQ,CCS,7,0.035028,0.035008,0.559923,0.711051,0.011628,0.076923,0.101196,0.452381,0.076923
1,SEQ,CCS,8,0.032525,0.032435,0.574384,0.736408,0.000000,0.000000,0.087470,0.000000,0.000000
1,SEQ,CCS,9,0.040646,0.040629,0.536045,0.938999,0.011628,0.076923,0.081506,0.452381,0.076923
1,SEQ,CCS,10,0.031086,0.030890,0.548890,0.805788,0.000000,0.000000,0.093586,0.000000,0.000000
1,SEQ,CCS,11,0.030971,0.030814,0.564690,0.775250,0.000000,0.000000,0.093547,0.000000,0.000000
1,SEQ,CCS,12,0.028713,0.028711,0.556623,0.720035,0.025000,0.076923,0.078650,0.095238,0.076923
1,SEQ,CCS,13,0.027381,0.027199,0.564058,1.080043,0.011628,0.076923,0.088062,0.452381,0.076923
1,SEQ,CCS,14,0.030004,0.029807,0.565344,0.787856,0.011628,0.076923,0.103853,0.452381,0.076923
1,SEQ,CCS,15,0.028561,0.028561,0.573469,0.634782,0.000000,0.000000,0.078990,0.000000,0.000000
1,SEQ,CCS,16,0.039289,0.039277,0.539881,0.875416,0.011628,0.076923,0.085506,0.452381,0.076923
1,SEQ,CCS,17,0.029874,0.029728,0.587046,0.679284,0.022727,0.000000,0.083136,0.523810,0.000000
1,SEQ,CCS,18,0.042860,0.042840,0.551562,0.558628,0.000000,0.000000,0.107627,0.000000,0.000000
1,SEQ,CCS,19,0.035356,0.035314,0.554382,0.865046,0.011628,0.000000,0.085304,0.452381,0.000000
1,SEQ,CCS,20,0.038947,0.038925,0.540204,0.775540,0.000000,0.000000,0.122410,0.000000,0.000000
1,SEQ,CCS,21,0.033739,0.033594,0.562893,0.569780,0.000000,0.000000,0.081096,0.000000,0.000000
1,SEQ,CCS,22,0.031857,0.031781,0.556492,0.438983,0.000000,0.000000,0.074287,0.000000,0.000000
1,SEQ,CCS,23,0.032727,0.032724,0.569491,0.522515,0.000000,0.000000,0.100326,0.000000,0.000000
1,SEQ,CCS,24,0.030084,0.030058,0.567140,0.836376,0.011628,0.076923,0.107087,0.452381,0.076923
1,SEQ,CCS,25,0.036767,0.036767,0.542768,0.770117,0.000000,0.000000,0.100976,0.000000,0.000000
1,SEQ,CCS,26,0.030265,0.030265,0.575607,0.628742,0.000000,0.000000,0.111388,0.000000,0.000000
1,SEQ,CCS,27,0.029789,0.029743,0.568231,0.833420,0.011628,0.076923,0.104379,0.023810,0.076923
1,SEQ,CCS,28,0.038500,0.038062,0.558947,0.772475,0.011628,0.076923,0.112602,0.452381,0.076923
1,SEQ,CCS,29,0.031457,0.031441,0.568362,0.569742,0.060000,0.153846,0.058776,0.476190,0.153846
1,SEQ,CCS,30,0.041640,0.041373,0.515926,0.781588,0.000000,0.000000,0.080336,0.000000,0.000000
1,SEQ,CCS,31,0.033045,0.033024,0.569872,0.660131,0.000000,0.000000,0.065446,0.000000,0.000000
1,SEQ,CCS,32,0.036156,0.036132,0.552210,0.313871,0.011628,0.076923,0.089737,0.452381,0.076923
1,SEQ,CCS,33,0.032109,0.032109,0.556928,0.793198,0.040000,0.076923,0.069274,0.547619,0.076923
1,SEQ,CCS,34,0.036192,0.036192,0.540564,0.967877,0.000000,0.000000,0.086356,0.000000,0.000000
