Variable,Index,Run,Total,Search,P1,P2,Ex,InitHeap,UsedHeap,CommitHeap,MaxHeap,MaxNonHeap
UAV,0,26, 1479.276000,1094.692000,98.720000,130.580000,155.284000, 4096.000000,357.200000,4096.000000,8192.000000,18.300000
UAV,0,39, 1465.862000,1110.933000,96.629000,126.359000,131.941000, 4096.000000,324.400000,4096.000000,8192.000000,18.000000
UAV,0,1, 1486.104000,1098.776000,99.829000,130.067000,157.432000, 4096.000000,313.400000,4096.000000,8192.000000,18.100000
UAV,0,32, 1420.955000,1053.125000,91.382000,127.651000,148.797000, 4096.000000,312.800000,4096.000000,8192.000000,18.200000
UAV,0,16, 1470.948000,1102.447000,93.369000,128.037000,147.095000, 4096.000000,318.200000,4096.000000,8192.000000,17.900000
UAV,0,42, 1468.020000,1083.458000,95.071000,129.836000,159.655000, 4096.000000,304.300000,4096.000000,8192.000000,17.900000
UAV,0,13, 1455.178000,1067.060000,94.804000,126.731000,166.583000, 4096.000000,319.400000,4096.000000,8192.000000,18.000000
UAV,0,14, 1515.942000,1108.132000,96.555000,136.269000,174.986000, 4096.000000,301.200000,4096.000000,8192.000000,17.900000
CCS,0,44, 164.611000,124.932000,8.317000,14.946000,16.416000, 4096.000000,108.600000,4096.000000,8192.000000,17.700000
CCS,0,50, 169.176000,127.576000,8.812000,15.896000,16.892000, 4096.000000,107.600000,4096.000000,8192.000000,18.100000
CCS,0,10, 156.325000,114.772000,8.618000,15.489000,17.446000, 4096.000000,109.300000,4096.000000,8192.000000,17.900000
CCS,0,22, 155.814000,114.691000,8.675000,15.682000,16.766000, 4096.000000,119.000000,4096.000000,8192.000000,17.800000
CCS,0,31, 154.262000,114.491000,8.385000,15.246000,16.140000, 4096.000000,119.300000,4096.000000,8192.000000,17.900000
CCS,0,15, 164.399000,124.969000,8.308000,14.951000,16.171000, 4096.000000,109.700000,4096.000000,8192.000000,17.700000
CCS,0,41, 157.298000,116.606000,8.487000,15.329000,16.876000, 4096.000000,118.900000,4096.000000,8192.000000,17.700000
CCS,0,48, 167.397000,124.920000,9.033000,16.244000,17.200000, 4096.000000,107.200000,4096.000000,8192.000000,17.800000
CCS,0,12, 161.564000,119.335000,8.878000,15.847000,17.504000, 4096.000000,117.200000,4096.000000,8192.000000,17.900000
CCS,0,6, 169.521000,128.871000,8.571000,15.439000,16.640000, 4096.000000,107.600000,4096.000000,8192.000000,18.000000
CCS,0,49, 166.591000,124.388000,8.978000,16.135000,17.090000, 4096.000000,117.300000,4096.000000,8192.000000,17.600000
CCS,0,27, 170.499000,128.793000,9.106000,16.430000,16.170000, 4096.000000,108.500000,4096.000000,8192.000000,17.900000
CCS,0,47, 168.093000,125.077000,9.023000,16.097000,17.896000, 4096.000000,119.300000,4096.000000,8192.000000,17.800000
CCS,0,45, 168.812000,125.969000,9.112000,16.576000,17.155000, 4096.000000,119.400000,4096.000000,8192.000000,17.800000
CCS,0,28, 167.952000,125.755000,9.020000,16.183000,16.994000, 4096.000000,107.500000,4096.000000,8192.000000,17.800000
CCS,0,7, 173.411000,131.648000,8.767000,15.725000,17.271000, 4096.000000,118.700000,4096.000000,8192.000000,17.900000
CCS,0,36, 166.947000,124.847000,9.053000,16.342000,16.705000, 4096.000000,107.600000,4096.000000,8192.000000,17.900000
CCS,0,46, 169.225000,126.378000,9.005000,16.168000,17.674000, 4096.000000,108.600000,4096.000000,8192.000000,17.800000
CCS,0,33, 159.388000,119.009000,8.605000,15.244000,16.530000, 4096.000000,108.500000,4096.000000,8192.000000,18.100000
CCS,0,4, 172.068000,129.372000,9.188000,16.490000,17.018000, 4096.000000,117.200000,4096.000000,8192.000000,17.800000
CCS,0,24, 168.992000,126.032000,8.972000,16.059000,17.929000, 4096.000000,110.400000,4096.000000,8192.000000,18.000000
CCS,0,11, 155.630000,114.620000,8.555000,15.420000,17.035000, 4096.000000,108.700000,4096.000000,8192.000000,17.800000
CCS,0,30, 173.002000,129.831000,9.333000,16.690000,17.148000, 4096.000000,107.600000,4096.000000,8192.000000,17.800000
CCS,0,19, 169.533000,126.753000,9.246000,16.685000,16.849000, 4096.000000,107.700000,4096.000000,8192.000000,17.800000
CCS,0,40, 174.201000,131.160000,9.260000,16.675000,17.106000, 4096.000000,108.800000,4096.000000,8192.000000,18.200000
CCS,0,43, 160.373000,119.451000,8.704000,15.698000,16.520000, 4096.000000,108.200000,4096.000000,8192.000000,18.000000
CCS,0,23, 157.639000,117.124000,8.527000,15.280000,16.708000, 4096.000000,109.100000,4096.000000,8192.000000,17.800000
CCS,0,25, 166.953000,125.459000,8.880000,16.020000,16.594000, 4096.000000,116.400000,4096.000000,8192.000000,17.800000
CCS,0,21, 155.811000,114.875000,8.604000,15.463000,16.869000, 4096.000000,119.200000,4096.000000,8192.000000,17.800000
CCS,0,34, 168.645000,124.846000,9.117000,16.515000,18.167000, 4096.000000,107.800000,4096.000000,8192.000000,17.800000
CCS,0,8, 155.954000,115.025000,8.698000,15.683000,16.548000, 4096.000000,107.400000,4096.000000,8192.000000,17.800000
CCS,0,29, 166.236000,124.494000,8.892000,16.039000,16.811000, 4096.000000,109.300000,4096.000000,8192.000000,17.900000
CCS,0,20, 168.247000,127.038000,8.979000,16.214000,16.016000, 4096.000000,118.900000,4096.000000,8192.000000,17.900000
CCS,0,3, 168.926000,126.426000,8.886000,16.039000,17.575000, 4096.000000,118.400000,4096.000000,8192.000000,17.700000
CCS,0,9, 156.761000,115.586000,8.647000,15.593000,16.935000, 4096.000000,117.300000,4096.000000,8192.000000,17.700000
CCS,0,37, 167.323000,124.866000,8.872000,15.903000,17.682000, 4096.000000,109.100000,4096.000000,8192.000000,18.000000
CCS,0,38, 173.883000,131.410000,9.130000,16.571000,16.772000, 4096.000000,111.900000,4096.000000,8192.000000,17.900000
CCS,0,17, 169.195000,126.264000,9.000000,16.192000,17.739000, 4096.000000,108.900000,4096.000000,8192.000000,17.900000
CCS,0,18, 160.453000,122.019000,8.142000,14.726000,15.566000, 4096.000000,107.100000,4096.000000,8192.000000,17.700000
CCS,0,5, 171.670000,128.025000,9.430000,16.961000,17.254000, 4096.000000,108.500000,4096.000000,8192.000000,17.900000
CCS,0,2, 171.279000,128.507000,8.993000,16.276000,17.503000, 4096.000000,119.400000,4096.000000,8192.000000,17.800000
CCS,0,35, 168.473000,126.095000,9.070000,16.315000,16.993000, 4096.000000,107.700000,4096.000000,8192.000000,17.700000
CCS,0,26, 167.762000,128.373000,8.513000,15.194000,15.682000, 4096.000000,107.700000,4096.000000,8192.000000,18.300000
CCS,0,39, 169.622000,126.694000,9.245000,16.608000,17.075000, 4096.000000,111.800000,4096.000000,8192.000000,17.900000
CCS,0,1, 170.761000,127.515000,9.282000,16.629000,17.335000, 4096.000000,107.900000,4096.000000,8192.000000,17.800000
CCS,0,32, 158.774000,117.220000,8.745000,15.648000,17.161000, 4096.000000,107.500000,4096.000000,8192.000000,17.800000
CCS,0,16, 170.025000,126.738000,9.031000,16.158000,18.098000, 4096.000000,109.100000,4096.000000,8192.000000,17.900000
CCS,0,42, 157.279000,116.949000,8.395000,15.112000,16.823000, 4096.000000,119.400000,4096.000000,8192.000000,17.700000
CCS,0,13, 159.786000,117.994000,8.715000,15.783000,17.294000, 4096.000000,108.500000,4096.000000,8192.000000,17.900000
CCS,0,14, 168.551000,126.179000,9.048000,16.303000,17.021000, 4096.000000,116.000000,4096.000000,8192.000000,17.800000
ESAIL,0,44, 52793.680000,8947.105000,10422.926000,19000.325000,14423.324000, 4096.000000,3414.400000,5924.000000,8192.000000,17.800000
ESAIL,0,50, 58360.518000,9208.250000,10762.822000,19719.488000,18669.958000, 4096.000000,2484.500000,6194.000000,8192.000000,17.900000
ESAIL,0,10, 54148.395000,9019.861000,10371.793000,19025.063000,15731.678000, 4096.000000,3460.300000,6226.000000,8192.000000,17.900000
ESAIL,0,22, 56027.225000,9079.818000,10561.440000,19317.498000,17068.469000, 4096.000000,3359.300000,6188.000000,8192.000000,17.800000
ESAIL,0,31, 64405.900000,8722.069000,12181.591000,22417.423000,21084.817000, 4096.000000,2471.600000,5882.000000,8192.000000,17.900000
ESAIL,0,15, 58112.593000,8647.260000,12592.983000,23014.876000,13857.474000, 4096.000000,3272.400000,5980.000000,8192.000000,17.900000
ESAIL,0,41, 57148.976000,8953.177000,10591.732000,19278.935000,18325.132000, 4096.000000,2456.100000,6206.000000,8192.000000,17.900000
ESAIL,0,48, 55224.126000,8839.972000,10605.685000,19459.617000,16318.852000, 4096.000000,3443.300000,6162.000000,8192.000000,17.900000
ESAIL,0,12, 57221.874000,9139.331000,10604.953000,19480.224000,17997.366000, 4096.000000,2477.400000,6264.000000,8192.000000,18.000000
ESAIL,0,6, 55410.610000,8740.575000,10633.217000,19460.850000,16575.968000, 4096.000000,2462.400000,6172.000000,8192.000000,17.900000
ESAIL,0,49, 55490.995000,8850.994000,10899.055000,19891.278000,15849.668000, 4096.000000,2456.200000,6128.000000,8192.000000,17.900000
ESAIL,0,27, 55256.678000,8781.684000,10460.475000,19244.346000,16770.173000, 4096.000000,3433.700000,6168.000000,8192.000000,18.000000
ESAIL,0,47, 50993.310000,8642.739000,10559.417000,19470.013000,12321.141000, 4096.000000,2534.300000,6198.000000,8192.000000,17.900000
ESAIL,0,45, 56393.682000,9058.134000,10335.667000,18989.893000,18009.988000, 4096.000000,2561.600000,6190.000000,8192.000000,17.900000
ESAIL,0,28, 55104.879000,8885.987000,10804.976000,19778.606000,15635.310000, 4096.000000,2455.000000,6152.000000,8192.000000,18.000000
ESAIL,0,7, 56965.628000,9005.171000,10568.087000,19383.031000,18009.339000, 4096.000000,2638.000000,6210.000000,8192.000000,18.000000
ESAIL,0,36, 56116.911000,9042.478000,10456.558000,19125.071000,17492.804000, 4096.000000,3328.800000,6190.000000,8192.000000,17.800000
ESAIL,0,46, 56408.570000,8885.721000,10680.258000,19630.448000,17212.143000, 4096.000000,3448.600000,6158.000000,8192.000000,17.900000
ESAIL,0,33, 55295.716000,8817.765000,10180.565000,18729.763000,17567.623000, 4096.000000,3430.200000,6228.000000,8192.000000,18.000000
ESAIL,0,4, 54798.483000,8877.938000,10525.574000,19251.946000,16143.025000, 4096.000000,2540.600000,6146.000000,8192.000000,18.100000
ESAIL,0,24, 63931.711000,8695.207000,12805.695000,23493.174000,18937.635000, 4096.000000,3331.300000,6008.000000,8192.000000,17.900000
ESAIL,0,11, 57584.682000,9148.222000,10792.096000,19899.442000,17744.922000, 4096.000000,3383.300000,6170.000000,8192.000000,17.900000
ESAIL,0,30, 60369.918000,9139.751000,11308.044000,20656.762000,19265.361000, 4096.000000,3429.200000,6204.000000,8192.000000,18.000000
ESAIL,0,19, 48695.952000,8678.516000,10703.792000,19732.140000,9581.504000, 4096.000000,3435.100000,6030.000000,8192.000000,17.900000
ESAIL,0,40, 53701.329000,8728.626000,10610.722000,19483.582000,14878.399000, 4096.000000,2898.100000,6162.000000,8192.000000,17.800000
ESAIL,0,43, 54497.743000,8688.427000,10272.613000,18917.899000,16618.804000, 4096.000000,3419.500000,6190.000000,8192.000000,17.800000
ESAIL,0,23, 54933.841000,9050.135000,10758.166000,19713.173000,15412.367000, 4096.000000,3427.600000,6082.000000,8192.000000,18.000000
ESAIL,0,25, 54196.082000,8735.002000,10358.563000,19014.158000,16088.359000, 4096.000000,2659.700000,6180.000000,8192.000000,17.900000
ESAIL,0,21, 50115.578000,8724.977000,10458.917000,19126.885000,11804.799000, 4096.000000,2475.100000,6220.000000,8192.000000,18.000000
ESAIL,0,34, 56802.101000,8955.553000,10456.365000,18991.112000,18399.071000, 4096.000000,2643.500000,6168.000000,8192.000000,17.900000
ESAIL,0,8, 58987.281000,8968.277000,10769.952000,19680.061000,19568.991000, 4096.000000,2464.000000,6182.000000,8192.000000,17.900000
ESAIL,0,29, 55322.426000,8979.588000,10440.789000,19176.399000,16725.650000, 4096.000000,2590.600000,6252.000000,8192.000000,17.900000
ESAIL,0,20, 54148.935000,8757.638000,10338.858000,18848.316000,16204.123000, 4096.000000,3351.900000,6058.000000,8192.000000,17.900000
ESAIL,0,3, 56668.974000,8760.246000,10755.363000,19797.175000,17356.190000, 4096.000000,2457.000000,6160.000000,8192.000000,17.800000
ESAIL,0,9, 56816.179000,8716.286000,10847.068000,19952.793000,17300.032000, 4096.000000,3411.600000,6140.000000,8192.000000,17.900000
ESAIL,0,37, 49323.042000,8574.861000,10514.405000,19236.517000,10997.259000, 4096.000000,2569.700000,6178.000000,8192.000000,17.900000
ESAIL,0,38, 53820.168000,8952.859000,9815.455000,18027.556000,17024.298000, 4096.000000,3335.900000,6126.000000,8192.000000,18.200000
ESAIL,0,17, 56618.956000,8821.691000,11308.263000,21278.410000,15210.592000, 4096.000000,2714.200000,6542.000000,8192.000000,18.000000
ESAIL,0,18, 59426.310000,9171.007000,11260.665000,20661.461000,18333.177000, 4096.000000,2475.300000,6118.000000,8192.000000,17.900000
ESAIL,0,5, 55080.640000,8928.550000,10469.252000,19111.017000,16571.821000, 4096.000000,3406.300000,6094.000000,8192.000000,17.900000
ESAIL,0,2, 54214.758000,8829.097000,10429.308000,19098.202000,15858.151000, 4096.000000,2453.100000,6160.000000,8192.000000,18.000000
ESAIL,0,35, 54082.614000,8784.587000,10699.490000,19587.188000,15011.349000, 4096.000000,2449.800000,6198.000000,8192.000000,17.900000
ESAIL,0,26, 59074.819000,8985.849000,11128.050000,20382.556000,18578.364000, 4096.000000,2463.500000,6142.000000,8192.000000,18.000000
ESAIL,0,39, 65591.505000,8653.280000,12416.483000,22850.597000,21671.145000, 4096.000000,3422.900000,5960.000000,8192.000000,17.900000
ESAIL,0,1, 56429.392000,8887.688000,10365.730000,19013.140000,18162.834000, 4096.000000,2477.500000,6224.000000,8192.000000,17.900000
ESAIL,0,32, 52378.459000,8934.092000,9553.124000,17629.936000,16261.307000, 4096.000000,2485.300000,6076.000000,8192.000000,17.900000
ESAIL,0,16, 47169.316000,8586.475000,9358.382000,17221.097000,12003.362000, 4096.000000,2485.900000,6264.000000,8192.000000,18.000000
ESAIL,0,42, 61807.236000,9025.372000,11736.296000,21934.229000,19111.339000, 4096.000000,2730.800000,6498.000000,8192.000000,17.900000
ESAIL,0,13, 53915.053000,8971.858000,10512.064000,19395.713000,15035.418000, 4096.000000,2455.000000,6080.000000,8192.000000,17.900000
ESAIL,0,14, 54827.748000,9012.507000,10677.445000,19723.885000,15413.911000, 4096.000000,2558.200000,6072.000000,8192.000000,17.900000
ICS,0,44, 109.457000,91.458000,6.797000,6.681000,4.521000, 4096.000000,87.700000,4096.000000,8192.000000,17.400000
ICS,0,50, 107.905000,90.157000,7.159000,6.981000,3.608000, 4096.000000,85.600000,4096.000000,8192.000000,17.800000
ICS,0,10, 98.145000,81.795000,6.700000,6.503000,3.147000, 4096.000000,83.700000,4096.000000,8192.000000,17.500000
ICS,0,22, 98.162000,81.955000,6.553000,6.372000,3.282000, 4096.000000,85.600000,4096.000000,8192.000000,17.600000
ICS,0,31, 97.709000,81.705000,6.452000,6.281000,3.271000, 4096.000000,84.200000,4096.000000,8192.000000,17.600000
ICS,0,15, 111.574000,93.237000,6.980000,6.815000,4.542000, 4096.000000,91.300000,4096.000000,8192.000000,17.500000
ICS,0,41, 96.909000,80.711000,6.520000,6.280000,3.398000, 4096.000000,81.700000,4096.000000,8192.000000,17.600000
ICS,0,48, 107.387000,92.734000,6.982000,6.765000,0.906000, 4096.000000,106.800000,4096.000000,8192.000000,17.500000
ICS,0,12, 97.653000,81.658000,6.436000,6.198000,3.361000, 4096.000000,85.600000,4096.000000,8192.000000,17.600000
ICS,0,6, 111.407000,93.885000,7.080000,6.963000,3.479000, 4096.000000,85.700000,4096.000000,8192.000000,17.900000
ICS,0,49, 104.496000,89.822000,6.847000,6.630000,1.197000, 4096.000000,83.600000,4096.000000,8192.000000,17.600000
ICS,0,27, 105.843000,90.720000,7.017000,6.868000,1.238000, 4096.000000,106.800000,4096.000000,8192.000000,17.600000
ICS,0,47, 106.194000,91.496000,6.816000,6.673000,1.209000, 4096.000000,106.800000,4096.000000,8192.000000,17.700000
ICS,0,45, 105.170000,89.888000,7.075000,6.843000,1.364000, 4096.000000,81.200000,4096.000000,8192.000000,17.500000
ICS,0,28, 107.012000,92.085000,7.023000,6.848000,1.056000, 4096.000000,79.800000,4096.000000,8192.000000,17.600000
ICS,0,7, 106.014000,91.509000,6.924000,6.742000,0.839000, 4096.000000,88.300000,4096.000000,8192.000000,17.400000
ICS,0,36, 106.417000,91.489000,6.895000,6.816000,1.217000, 4096.000000,85.600000,4096.000000,8192.000000,17.600000
ICS,0,46, 106.151000,90.272000,6.862000,6.692000,2.325000, 4096.000000,106.800000,4096.000000,8192.000000,17.800000
ICS,0,33, 99.019000,82.871000,6.494000,6.345000,3.309000, 4096.000000,85.600000,4096.000000,8192.000000,17.600000
ICS,0,4, 111.124000,96.401000,6.970000,6.897000,0.856000, 4096.000000,106.800000,4096.000000,8192.000000,17.600000
ICS,0,24, 103.826000,88.997000,6.853000,6.712000,1.264000, 4096.000000,81.200000,4096.000000,8192.000000,17.600000
ICS,0,11, 95.730000,81.678000,6.531000,6.263000,1.258000, 4096.000000,81.400000,4096.000000,8192.000000,17.700000
ICS,0,30, 109.652000,94.399000,7.109000,6.866000,1.278000, 4096.000000,79.600000,4096.000000,8192.000000,17.600000
ICS,0,19, 107.889000,91.864000,6.991000,6.793000,2.241000, 4096.000000,83.600000,4096.000000,8192.000000,17.600000
ICS,0,40, 110.560000,93.376000,6.942000,6.759000,3.483000, 4096.000000,85.600000,4096.000000,8192.000000,17.700000
ICS,0,43, 95.045000,80.199000,6.453000,6.149000,2.244000, 4096.000000,80.900000,4096.000000,8192.000000,17.600000
