Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,12,1,0,0,-814.6861590240972,-21.0,1285,0,0.0
UAV,12,1,1,1,-814.7720115431869,10.0,0,0,0.0
UAV,12,1,2,2,-814.7247702704788,-1.0,0,0,0.0
UAV,12,1,3,3,-814.7513140865647,5.0,1000,0,0.0
UAV,12,1,4,4,-814.7179275508804,-5.0,1142,0,0.0
UAV,12,1,5,5,-814.7465624555045,3.0,1238,0,0.0
UAV,12,1,6,6,-814.6876697792176,-20.0,1145,0,0.0
UAV,12,1,7,7,-814.7103048189744,-9.0,1014,0,0.0
UAV,12,1,8,8,-814.6874461985238,-16.0,1030,0,0.0
UAV,12,1,9,9,-814.7038743012464,-11.0,1030,0,0.0
UAV,6,1,0,0,-814.776313751046,10.0,0,0,0.0
UAV,6,1,1,1,-814.6500810693658,-30.0,1405,0,0.0
UAV,6,1,2,2,-814.7149731623655,-9.0,1155,0,0.0
UAV,6,1,3,3,-814.7248986670974,-2.0,1238,0,0.0
UAV,6,1,4,4,-814.6954047095446,-14.0,1155,0,0.0
UAV,6,1,5,5,-814.7498935304837,5.0,1000,0,0.0
UAV,6,1,6,6,-814.6813490560166,-20.0,1018,0,0.0
UAV,6,1,7,7,-814.7364958716892,3.0,0,0,0.0
UAV,6,1,8,8,-814.6628301584436,-25.0,1279,0,0.0
UAV,6,1,9,9,-814.6568342922569,-28.0,1320,0,0.0
UAV,49,1,0,0,-814.7714962224878,10.0,0,0,0.0
UAV,49,1,1,1,-814.7714962224878,10.0,0,0,0.0
UAV,49,1,2,2,-814.6709944915816,-25.0,2,0,0.0
UAV,49,1,3,3,-814.6984211468306,-14.0,2,0,0.0
UAV,49,1,4,4,-814.7513140865647,5.0,1000,0,0.0
UAV,49,1,5,5,-814.7042925189801,-10.0,1164,0,0.0
UAV,49,1,6,6,-814.6787399928581,-21.0,99,0,0.0
UAV,49,1,7,7,-814.7382315031613,3.0,0,0,0.0
UAV,49,1,8,8,-814.735223488416,-2.0,0,0,0.0
UAV,49,1,9,9,-814.7119526427763,-7.0,1000,0,0.0
UAV,27,1,0,0,-814.6734647907973,-24.0,1120,0,0.0
UAV,27,1,1,1,-814.776271745389,10.0,0,0,0.0
UAV,27,1,2,2,-814.7308691841856,-3.0,1238,0,0.0
UAV,27,1,3,3,-814.7117070410854,-8.0,1238,0,0.0
UAV,27,1,4,4,-814.6836696734862,-21.0,36,0,0.0
UAV,27,1,5,5,-814.756103615927,5.0,0,0,0.0
UAV,27,1,6,6,-814.7327594954826,0.0,1000,0,0.0
UAV,27,1,7,7,-814.6919092317207,-13.0,1238,0,0.0
UAV,27,1,8,8,-814.6917747166289,-17.0,1170,0,0.0
UAV,27,1,9,9,-814.7577011275483,3.0,2599,0,0.0
UAV,47,1,0,0,-814.7561303413189,10.0,0,0,0.0
UAV,47,1,1,1,-814.6507293386181,-29.0,1395,0,0.0
UAV,47,1,2,2,-814.7561303413189,10.0,0,0,0.0
UAV,47,1,3,3,-814.7309113056424,0.0,1000,0,0.0
UAV,47,1,4,4,-814.7461226639389,-8.0,2666,0,0.0
UAV,47,1,5,5,-814.754552109678,5.0,0,0,0.0
UAV,47,1,6,6,-814.6789312247454,-19.0,1275,0,0.0
UAV,47,1,7,7,-814.6961612458562,-15.0,1242,0,0.0
UAV,47,1,8,8,-814.7076430042889,-11.0,1497,0,0.0
UAV,47,1,9,9,-814.6598858125554,-24.0,1275,0,0.0
UAV,45,1,0,0,-814.7715008900965,10.0,0,0,0.0
UAV,45,1,1,1,-814.6523251369557,-32.0,4,0,0.0
UAV,45,1,2,2,-814.6666723939251,-23.0,1245,0,0.0
UAV,45,1,3,3,-814.6985781433261,-14.0,1155,0,0.0
UAV,45,1,4,4,-814.7108301188514,-9.0,1375,0,0.0
UAV,45,1,5,5,-814.681132919309,-20.0,1364,0,0.0
UAV,45,1,6,6,-814.7298719605244,-4.0,1375,0,0.0
UAV,45,1,7,7,-814.753903718998,5.0,0,0,0.0
UAV,45,1,8,8,-814.7558899231574,-1.0,2599,0,0.0
UAV,45,1,9,9,-814.7485655603369,-2.0,2599,0,0.0
UAV,28,1,0,0,-814.6691489992381,-21.0,1119,0,0.0
UAV,28,1,1,1,-814.7762400521738,10.0,0,0,0.0
UAV,28,1,2,2,-814.7550785591111,5.0,1000,0,0.0
UAV,28,1,3,3,-814.7296049166598,-2.0,1238,0,0.0
UAV,28,1,4,4,-814.7495569921491,2.0,1014,0,0.0
UAV,28,1,5,5,-814.6903700574685,-18.0,1311,0,0.0
UAV,28,1,6,6,-814.727402917891,-5.0,1164,0,0.0
UAV,28,1,7,7,-814.7187252493518,-8.0,1020,0,0.0
UAV,28,1,8,8,-814.7090923539047,-10.0,1164,0,0.0
UAV,28,1,9,9,-814.6919215994094,-15.0,1164,0,0.0
UAV,7,1,0,0,-814.6640594607505,-34.0,1499,0,0.0
UAV,7,1,1,1,-814.7718705762583,10.0,0,0,0.0
UAV,7,1,2,2,-814.7718705762583,10.0,0,0,0.0
UAV,7,1,3,3,-814.7069569618002,-8.0,1,0,0.0
UAV,7,1,4,4,-814.7296926750131,-3.0,291,0,0.0
UAV,7,1,5,5,-814.6709152192328,-28.0,181,0,0.0
UAV,7,1,6,6,-814.6785876568961,-23.0,279,0,0.0
UAV,7,1,7,7,-814.6963855110372,-14.0,1,0,0.0
UAV,7,1,8,8,-814.7549077784524,5.0,0,0,0.0
UAV,7,1,9,9,-814.7314196038176,1.0,0,0,0.0
UAV,36,1,0,0,-814.6832538096833,-20.0,1132,0,0.0
UAV,36,1,1,1,-814.776313751046,10.0,0,0,0.0
UAV,36,1,2,2,-814.776313751046,10.0,0,0,0.0
UAV,36,1,3,3,-814.7513140865647,5.0,1000,0,0.0
UAV,36,1,4,4,-814.7069892888924,-7.0,1238,0,0.0
UAV,36,1,5,5,-814.6942889942242,-14.0,1238,0,0.0
UAV,36,1,6,6,-814.6896495863325,-12.0,1238,0,0.0
UAV,36,1,7,7,-814.7282415037382,-3.0,1014,0,0.0
UAV,36,1,8,8,-814.7354403963863,0.0,1000,0,0.0
UAV,36,1,9,9,-814.7298935590987,-2.0,1238,0,0.0
UAV,46,1,0,0,-814.7719580954608,10.0,0,0,0.0
UAV,46,1,1,1,-814.7719580954608,10.0,0,0,0.0
UAV,46,1,2,2,-814.6651245900952,-22.0,1273,0,0.0
UAV,46,1,3,3,-814.7498809549454,5.0,1000,0,0.0
UAV,46,1,4,4,-814.739269854801,0.0,1142,0,0.0
UAV,46,1,5,5,-814.6931827786926,-13.0,1365,0,0.0
UAV,46,1,6,6,-814.7166945971306,-5.0,1142,0,0.0
UAV,46,1,7,7,-814.6806710981717,-15.0,1142,0,0.0
UAV,46,1,8,8,-814.72536143599,-4.0,1006,0,0.0
UAV,46,1,9,9,-814.6770550758007,-20.0,1157,0,0.0
UAV,33,1,0,0,-814.6645511354611,-28.0,1178,0,0.0
UAV,33,1,1,1,-814.7720171131393,10.0,0,0,0.0
UAV,33,1,2,2,-814.7511871457722,5.0,1000,0,0.0
UAV,33,1,3,3,-814.7068725360821,-7.0,1238,0,0.0
UAV,33,1,4,4,-814.6896500750147,-12.0,1238,0,0.0
UAV,33,1,5,5,-814.7306815938005,0.0,1000,0,0.0
UAV,33,1,6,6,-814.6793906875282,-20.0,1063,0,0.0
UAV,33,1,7,7,-814.7248727836327,-2.0,1238,0,0.0
UAV,33,1,8,8,-814.6917673222865,-17.0,1505,0,0.0
UAV,33,1,9,9,-814.6672368006016,-25.0,1451,0,0.0
UAV,4,1,0,0,-814.6629628313996,-31.0,1517,0,0.0
UAV,4,1,1,1,-814.7767160468628,10.0,0,0,0.0
UAV,4,1,2,2,-814.7767160468628,10.0,0,0,0.0
UAV,4,1,3,3,-814.6855562625271,-19.0,1074,0,0.0
UAV,4,1,4,4,-814.7512342580344,5.0,1000,0,0.0
UAV,4,1,5,5,-814.7111127131079,-7.0,1151,0,0.0
UAV,4,1,6,6,-814.6980948826169,-14.0,94,0,0.0
UAV,4,1,7,7,-814.7358898829358,-3.0,0,0,0.0
UAV,4,1,8,8,-814.675918544922,-24.0,1138,0,0.0
UAV,4,1,9,9,-814.7081712996935,-10.0,1240,0,0.0
UAV,24,1,0,0,-814.6456745436028,-35.0,1499,0,0.0
UAV,24,1,1,1,-814.6456625180825,-35.0,1499,0,0.0
UAV,24,1,2,2,-814.7715369808968,10.0,0,0,0.0
UAV,24,1,3,3,-814.7715369808968,10.0,0,0,0.0
UAV,24,1,4,4,-814.724731541972,-10.0,67,0,0.0
UAV,24,1,5,5,-814.7273211186842,-4.0,0,0,0.0
UAV,24,1,6,6,-814.659730144761,-28.0,1196,0,0.0
