TestID,Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
1,OPAM,CCS,48,0.078162,0.077799,0.809013,0.797477,0.006579,0.111111,0.000890,0.533333,0.111111
1,OPAM,CCS,49,0.055524,0.055389,0.766491,0.690966,0.013699,0.111111,0.081188,0.053333,0.111111
1,OPAM,CCS,50,0.088264,0.088048,0.798887,0.713507,0.000000,0.000000,0.088309,0.000000,0.000000
1,RS,CCS,1,0.051102,0.051102,0.807456,0.398493,0.000000,0.000000,0.104986,0.000000,0.000000
1,RS,CCS,2,0.143596,0.142976,0.767788,0.354321,0.000000,0.000000,0.173997,0.000000,0.000000
1,RS,CCS,3,0.052287,0.051997,0.836021,0.285206,0.006579,0.000000,0.047551,0.053333,0.000000
1,RS,CCS,4,0.140053,0.140053,0.632226,0.414344,0.000000,0.000000,0.100585,0.000000,0.000000
1,RS,CCS,5,0.091950,0.091811,0.808367,0.511110,0.000000,0.000000,0.097483,0.000000,0.000000
1,RS,CCS,6,0.076598,0.075701,0.822943,0.609493,0.000000,0.000000,0.117245,0.000000,0.000000
1,RS,CCS,7,0.117007,0.117007,0.828929,0.336469,0.006579,0.111111,0.111846,0.080000,0.111111
1,RS,CCS,8,0.050454,0.050454,0.794554,0.466985,0.000000,0.000000,0.116600,0.000000,0.000000
1,RS,CCS,9,0.073320,0.073046,0.782804,0.633407,0.000000,0.000000,0.113899,0.000000,0.000000
1,RS,CCS,10,0.104485,0.103793,0.804031,0.183042,0.000000,0.000000,0.040170,0.000000,0.000000
1,RS,CCS,11,0.080281,0.080281,0.754513,0.400336,0.000000,0.000000,0.126792,0.000000,0.000000
1,RS,CCS,12,0.085145,0.085145,0.710938,0.555034,0.000000,0.000000,0.114144,0.000000,0.000000
1,RS,CCS,13,0.125452,0.125221,0.759217,0.353510,0.000000,0.000000,0.130339,0.000000,0.000000
1,RS,CCS,14,0.066152,0.065972,0.789672,0.389907,0.000000,0.000000,0.082450,0.000000,0.000000
