Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,6,1,7,7,-814.7886597099432,-24.0,619,0,0.0
UAV,6,1,8,8,-815.8315435994494,10.0,3500,0,0.0
UAV,6,1,9,9,-814.8471737152039,-19.0,3652,0,0.0
UAV,6,1,10,10,-814.6875060860118,-27.0,397,0,0.0
UAV,49,1,0,0,-814.7935096028709,-11.0,67,0,0.0
UAV,49,1,1,1,-814.7817034526141,-23.0,2675,0,0.0
UAV,49,1,2,2,-814.9434092389803,-10.0,3504,0,0.0
UAV,49,1,3,3,-815.3221291736089,10.0,3500,0,0.0
UAV,49,1,4,4,-814.7270620632249,-25.0,2610,0,0.0
UAV,49,1,5,5,-815.1907409307275,5.0,0,0,0.0
UAV,49,1,6,6,-815.0194338893779,-2.0,0,0,0.0
UAV,49,1,7,7,-814.9451480133213,-7.0,3729,0,0.0
UAV,49,1,8,8,-814.9928374467426,-6.0,215,0,0.0
UAV,27,1,0,0,-814.7380903373041,-17.0,0,0,0.0
UAV,27,1,1,1,-814.9999231057816,-3.0,3500,0,0.0
UAV,27,1,2,2,-815.528552062689,10.0,3500,0,0.0
UAV,27,1,3,3,-814.8990461093505,-9.0,3500,0,0.0
UAV,27,1,4,4,-815.0264416735257,-6.0,3674,0,0.0
UAV,27,1,5,5,-815.344206562753,4.0,3685,0,0.0
UAV,27,1,6,6,-815.2611150089583,2.0,0,0,0.0
UAV,27,1,7,7,-814.9987725909799,-8.0,3714,0,0.0
UAV,27,1,8,8,-815.1073340660935,0.0,3953,0,0.0
UAV,47,1,0,0,-814.9478358058698,-2.0,0,0,0.0
UAV,47,1,1,1,-815.1252423611813,4.0,0,0,0.0
UAV,47,1,2,2,-814.873105689483,-8.0,5,0,0.0
UAV,47,1,3,3,-814.7398047680252,-32.0,162,0,0.0
UAV,47,1,4,4,-814.7850613352539,-15.0,0,0,0.0
UAV,47,1,5,5,-814.8468182134112,-24.0,0,0,0.0
UAV,47,1,6,6,-814.9328537523213,-7.0,0,0,0.0
UAV,47,1,7,7,-815.3901420522495,10.0,0,0,0.0
UAV,47,1,8,8,-814.6674421812231,-39.0,2815,0,0.0
UAV,45,1,0,0,-815.0305762219657,5.0,1500,0,0.0
UAV,45,1,1,1,-814.7610068828644,-17.0,77,0,0.0
UAV,45,1,2,2,-814.9652668406026,-5.0,0,0,0.0
UAV,45,1,3,3,-815.4691278066641,10.0,3500,0,0.0
UAV,45,1,4,4,-814.8099902299497,-7.0,57,0,0.0
UAV,45,1,5,5,-814.9525271202991,-4.0,3646,0,0.0
UAV,45,1,6,6,-814.7830104457593,-22.0,0,0,0.0
UAV,45,1,7,7,-814.7607431494343,-31.0,1,0,0.0
UAV,45,1,8,8,-814.7693561288773,-25.0,1409,0,0.0
UAV,45,1,9,9,-814.8123833474845,-20.0,3501,0,0.0
UAV,45,1,10,10,-815.046322310896,1.0,0,0,0.0
UAV,28,1,0,0,-814.7802426684867,-18.0,2044,0,0.0
UAV,28,1,1,1,-814.7161745551773,-47.0,5,0,0.0
UAV,28,1,2,2,-815.4991462086214,10.0,0,0,0.0
UAV,28,1,3,3,-815.0083147284344,-4.0,1153,0,0.0
UAV,28,1,4,4,-814.835154769846,-6.0,1153,0,0.0
UAV,28,1,5,5,-814.7653726537205,-32.0,2155,0,0.0
UAV,28,1,6,6,-814.8579059054504,-17.0,564,0,0.0
UAV,28,1,7,7,-814.7576297634845,-31.0,51,0,0.0
UAV,28,1,8,8,-815.1400096848927,5.0,0,0,0.0
UAV,28,1,9,9,-815.058339160601,1.0,0,0,0.0
UAV,28,1,10,10,-814.793113894315,-23.0,45,0,0.0
UAV,7,1,0,0,-814.8894499735309,-1.0,0,0,0.0
UAV,7,1,1,1,-814.8065485487978,-14.0,2680,0,0.0
UAV,7,1,2,2,-814.7253807069458,-32.0,3516,0,0.0
UAV,7,1,3,3,-814.8713458611543,-12.0,274,0,0.0
UAV,7,1,4,4,-814.7233941113166,-29.0,1945,0,0.0
UAV,7,1,5,5,-815.083320447688,10.0,3500,0,0.0
UAV,7,1,6,6,-814.8356287056721,-19.0,0,0,0.0
UAV,36,1,0,0,-814.7901006644755,-10.0,3726,0,0.0
UAV,36,1,1,1,-814.7328416134291,-16.0,1063,0,0.0
UAV,36,1,2,2,-814.9615261546118,-2.0,0,0,0.0
UAV,36,1,3,3,-814.6922698567174,-36.0,294,0,0.0
UAV,36,1,4,4,-815.2370835414605,10.0,0,0,0.0
UAV,36,1,5,5,-814.837008833886,-8.0,2816,0,0.0
UAV,36,1,6,6,-814.81850632436,-11.0,0,0,0.0
UAV,36,1,7,7,-814.7396888925108,-30.0,4,0,0.0
