Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,44,12,4,4,-804.0869924731163,4.0,0,0,0.0
UAV,44,12,5,5,-803.7046305460492,-31.0,40,0,0.0
UAV,44,12,6,6,-803.9267510142557,-3.0,50,0,0.0
UAV,44,13,0,0,-797.8332096217065,10.0,0,0,0.0
UAV,44,13,1,1,-797.0791180519019,-4.0,0,0,0.0
UAV,44,13,2,2,-797.08177423088,-20.0,0,0,0.0
UAV,44,13,3,3,-797.0765509250651,-22.0,71,0,0.0
UAV,44,13,4,4,-797.415759586812,4.0,0,0,0.0
UAV,44,13,5,5,-797.0115964246115,-31.0,40,0,0.0
UAV,44,13,6,6,-797.2192559739781,-3.0,50,0,0.0
UAV,44,14,0,0,-803.7376036565372,10.0,0,0,0.0
UAV,44,14,1,1,-802.9758443670981,-4.0,0,0,0.0
UAV,44,14,2,2,-802.9421565682885,-20.0,0,0,0.0
UAV,44,14,3,3,-802.8838764069385,-22.0,80,0,0.0
UAV,44,14,4,4,-803.2768291915411,4.0,0,0,0.0
UAV,44,14,5,5,-802.912594719692,-31.0,30,0,0.0
UAV,44,14,6,6,-803.1132686655716,-3.0,56,0,0.0
UAV,44,15,0,0,-804.544332914171,10.0,0,0,0.0
UAV,44,15,1,1,-803.7829731026915,-4.0,0,0,0.0
UAV,44,15,2,2,-803.753864750106,-20.0,0,0,0.0
UAV,44,15,3,3,-803.7692315768082,-22.0,76,0,0.0
UAV,44,15,4,4,-804.0807058198285,4.0,0,0,0.0
UAV,44,15,5,5,-803.7192512122049,-31.0,36,0,0.0
UAV,44,15,6,6,-803.9242867396237,-3.0,57,0,0.0
UAV,44,16,0,0,-801.9334212376244,10.0,0,0,0.0
UAV,44,16,1,1,-801.1630090097548,-4.0,0,0,0.0
UAV,44,16,2,2,-801.1429799135393,-20.0,0,0,0.0
UAV,44,16,3,3,-801.204344392749,-22.0,80,0,0.0
UAV,44,16,4,4,-801.4643401247803,4.0,0,0,0.0
UAV,44,16,5,5,-801.120416893023,-31.0,40,0,0.0
UAV,44,16,6,6,-801.2925129632304,-3.0,53,0,0.0
UAV,44,17,0,0,-800.1630198898612,10.0,0,0,0.0
UAV,44,17,1,1,-799.4338008909497,-4.0,0,0,0.0
UAV,44,17,2,2,-799.4242978679792,-20.0,0,0,0.0
UAV,44,17,3,3,-799.4523652115332,-22.0,71,0,0.0
UAV,44,17,4,4,-799.6997080947574,4.0,0,0,0.0
UAV,44,17,5,5,-799.3705738848957,-31.0,43,0,0.0
UAV,44,17,6,6,-799.5407106064782,-3.0,50,0,0.0
UAV,44,18,0,0,-801.1522645925315,10.0,0,0,0.0
UAV,44,18,1,1,-800.3851383829419,-4.0,0,0,0.0
UAV,44,18,2,2,-800.3422309941911,-20.0,0,0,0.0
UAV,44,18,3,3,-800.3878257361384,-22.0,70,0,0.0
UAV,44,18,4,4,-800.6627861861277,4.0,0,0,0.0
UAV,44,18,5,5,-800.3541908664735,-31.0,30,0,0.0
UAV,44,18,6,6,-800.5047582134158,-3.0,50,0,0.0
UAV,44,19,0,0,-806.9914561522719,10.0,0,0,0.0
UAV,44,19,1,1,-806.2629956097862,-4.0,0,0,0.0
UAV,44,19,2,2,-806.1890676248737,-20.0,0,0,0.0
UAV,44,19,3,3,-806.2557378627462,-22.0,70,0,0.0
UAV,44,19,4,4,-806.5479594868448,4.0,0,0,0.0
UAV,44,19,5,5,-806.2127932855474,-31.0,31,0,0.0
UAV,44,19,6,6,-806.3437283821613,-3.0,50,0,0.0
UAV,44,20,0,0,-802.7759543470656,10.0,0,0,0.0
UAV,44,20,1,1,-802.0076090815166,-4.0,0,0,0.0
UAV,44,20,2,2,-802.0128561677379,-20.0,0,0,0.0
UAV,44,20,3,3,-802.0686079130268,-22.0,80,0,0.0
UAV,44,20,4,4,-802.3237981884677,4.0,0,0,0.0
UAV,44,20,5,5,-801.9946681633287,-31.0,31,0,0.0
UAV,44,20,6,6,-802.1400914018175,-3.0,50,0,0.0
UAV,44,21,0,0,-799.9080460816052,10.0,0,0,0.0
UAV,44,21,1,1,-799.1032590404881,-4.0,0,0,0.0
UAV,44,21,2,2,-799.080944754751,-20.0,0,0,0.0
UAV,44,21,3,3,-799.0894806481716,-22.0,78,0,0.0
UAV,44,21,4,4,-799.4281726320278,4.0,0,0,0.0
UAV,44,21,5,5,-799.0506226031404,-31.0,38,0,0.0
UAV,44,21,6,6,-799.2405636633456,-3.0,50,0,0.0
UAV,44,22,0,0,-803.6024245840949,10.0,0,0,0.0
UAV,44,22,1,1,-802.8539511713485,-4.0,0,0,0.0
UAV,44,22,2,2,-802.8322713617072,-20.0,0,0,0.0
UAV,44,22,3,3,-802.8234723899175,-22.0,80,0,0.0
UAV,44,22,4,4,-803.1371269832129,4.0,0,0,0.0
UAV,44,22,5,5,-802.7909055168741,-31.0,35,0,0.0
UAV,44,22,6,6,-802.9680194181514,-3.0,52,0,0.0
UAV,44,23,0,0,-805.3675350530215,10.0,0,0,0.0
UAV,44,23,1,1,-804.6125485402129,-4.0,0,0,0.0
UAV,44,23,2,2,-804.601587200864,-20.0,0,0,0.0
UAV,44,23,3,3,-804.5626449351076,-22.0,77,0,0.0
UAV,44,23,4,4,-804.9259761430349,4.0,0,0,0.0
UAV,44,23,5,5,-804.4901283218975,-31.0,31,0,0.0
UAV,44,23,6,6,-804.786658846406,-3.0,50,0,0.0
UAV,44,24,0,0,-802.96890994524,10.0,0,0,0.0
UAV,44,24,1,1,-802.2039773463848,-4.0,0,0,0.0
UAV,44,24,2,2,-802.1063570537594,-20.0,0,0,0.0
UAV,44,24,3,3,-802.1160232896639,-22.0,79,0,0.0
UAV,44,24,4,4,-802.5387095345933,4.0,0,0,0.0
UAV,44,24,5,5,-802.1420505467744,-31.0,34,0,0.0
UAV,44,24,6,6,-802.3179372488751,-3.0,50,0,0.0
UAV,44,25,0,0,-804.1617245457916,10.0,0,0,0.0
UAV,44,25,1,1,-803.373314726951,-4.0,0,0,0.0
UAV,44,25,2,2,-803.3649581323052,-20.0,0,0,0.0
UAV,44,25,3,3,-803.4701693294687,-22.0,70,0,0.0
UAV,44,25,4,4,-803.7356527392188,4.0,0,0,0.0
UAV,44,25,5,5,-803.3240689614288,-31.0,34,0,0.0
UAV,44,25,6,6,-803.5138916723301,-3.0,50,0,0.0
UAV,44,26,0,0,-802.3774501639867,10.0,0,0,0.0
UAV,44,26,1,1,-801.6294893539722,-4.0,0,0,0.0
UAV,44,26,2,2,-801.5558201874883,-20.0,0,0,0.0
UAV,44,26,3,3,-801.5642032695431,-22.0,76,0,0.0
UAV,44,26,4,4,-801.9255612709528,4.0,0,0,0.0
UAV,44,26,5,5,-801.5190027326677,-31.0,32,0,0.0
UAV,44,26,6,6,-801.7513214851906,-3.0,56,0,0.0
UAV,44,27,0,0,-800.1702779047055,10.0,0,0,0.0
UAV,44,27,1,1,-799.4157111954119,-4.0,0,0,0.0
UAV,44,27,2,2,-799.397785577896,-20.0,0,0,0.0
UAV,44,27,3,3,-799.465825833209,-22.0,78,0,0.0
UAV,44,27,4,4,-799.7448957496188,4.0,0,0,0.0
UAV,44,27,5,5,-799.374993510449,-31.0,49,0,0.0
UAV,44,27,6,6,-799.5567392797552,-3.0,52,0,0.0
UAV,44,28,0,0,-802.2362810647218,10.0,0,0,0.0
UAV,44,28,1,1,-801.4350128644139,-4.0,0,0,0.0
UAV,44,28,2,2,-801.3883101285357,-20.0,0,0,0.0
UAV,44,28,3,3,-801.3697894205327,-22.0,80,0,0.0
UAV,44,28,4,4,-801.7436728924184,4.0,0,0,0.0
UAV,44,28,5,5,-801.3399207864987,-31.0,47,0,0.0
UAV,44,28,6,6,-801.5641327381607,-3.0,52,0,0.0
UAV,44,29,0,0,-803.5814961120727,10.0,0,0,0.0
UAV,44,29,1,1,-802.8065339194335,-4.0,0,0,0.0
UAV,44,29,2,2,-802.7806653326674,-20.0,0,0,0.0
UAV,44,29,3,3,-802.8283431737274,-22.0,70,0,0.0
UAV,44,29,4,4,-803.1192570106703,4.0,0,0,0.0
UAV,44,29,5,5,-802.7843521224534,-31.0,34,0,0.0
UAV,44,29,6,6,-802.9251509189248,-3.0,60,0,0.0
UAV,44,30,0,0,-799.7031282454426,10.0,0,0,0.0
UAV,44,30,1,1,-798.952931841261,-4.0,0,0,0.0
UAV,44,30,2,2,-798.8881795582341,-20.0,0,0,0.0
UAV,44,30,3,3,-798.8217214514704,-22.0,72,0,0.0
UAV,44,30,4,4,-799.275853001633,4.0,0,0,0.0
UAV,44,30,5,5,-798.8603980475366,-31.0,32,0,0.0
UAV,44,30,6,6,-799.0590595205076,-3.0,50,0,0.0
UAV,44,31,0,0,-805.4932389289767,10.0,0,0,0.0
UAV,44,31,1,1,-804.7439837881301,-4.0,0,0,0.0
UAV,44,31,2,2,-804.7170513178576,-20.0,0,0,0.0
UAV,44,31,3,3,-804.7330475735806,-22.0,83,0,0.0
UAV,44,31,4,4,-805.085379913566,4.0,0,0,0.0
UAV,44,31,5,5,-804.6546912002175,-31.0,32,0,0.0
UAV,44,31,6,6,-804.9043313418847,-3.0,50,0,0.0
UAV,44,32,0,0,-802.1182454333984,10.0,0,0,0.0
UAV,44,32,1,1,-801.3409543297815,-4.0,0,0,0.0
UAV,44,32,2,2,-801.2947488622607,-20.0,0,0,0.0
UAV,44,32,3,3,-801.2085379393164,-22.0,77,0,0.0
UAV,44,32,4,4,-801.6594683503108,4.0,0,0,0.0
UAV,44,32,5,5,-801.184653396165,-31.0,42,0,0.0
UAV,44,32,6,6,-801.5093325516181,-3.0,51,0,0.0
UAV,44,33,0,0,-806.0469563162231,10.0,0,0,0.0
UAV,44,33,1,1,-805.3012891213241,-4.0,0,0,0.0
UAV,44,33,2,2,-805.2976957082359,-20.0,0,0,0.0
UAV,44,33,3,3,-805.3239500670475,-22.0,70,0,0.0
UAV,44,33,4,4,-805.5942006105632,4.0,0,0,0.0
UAV,44,33,5,5,-805.2394219009471,-31.0,33,0,0.0
UAV,44,33,6,6,-805.4279584994607,-3.0,50,0,0.0
UAV,44,34,0,0,-804.6023804568488,10.0,0,0,0.0
UAV,44,34,1,1,-803.8110244450995,-4.0,0,0,0.0
UAV,44,34,2,2,-803.7721012306248,-20.0,0,0,0.0
