Variable,Index,Run,Total,Search,P1,P2,Ex,InitHeap,UsedHeap,CommitHeap,MaxHeap,MaxNonHeap
UAV,0,39, 1099.329000,898.078000,69.071000,110.348000,21.832000, 4096.000000,267.300000,4096.000000,8192.000000,17.200000
UAV,0,1, 1265.345000,1037.072000,84.129000,118.077000,26.067000, 4096.000000,319.200000,4096.000000,8192.000000,17.300000
UAV,0,32, 855.702000,696.349000,52.846000,93.381000,13.126000, 4096.000000,258.300000,4096.000000,8192.000000,17.100000
UAV,0,16, 1038.768000,847.396000,69.626000,116.012000,5.734000, 4096.000000,288.800000,4096.000000,8192.000000,17.100000
UAV,0,42, 878.292000,714.286000,53.390000,96.274000,14.342000, 4096.000000,258.200000,4096.000000,8192.000000,17.300000
UAV,0,13, 1256.215000,1036.553000,88.382000,122.263000,9.017000, 4096.000000,305.600000,4096.000000,8192.000000,17.100000
UAV,0,14, 931.820000,768.049000,58.624000,100.627000,4.520000, 4096.000000,286.200000,4096.000000,8192.000000,17.200000
CCS,0,44, 121.028000,93.697000,5.847000,12.907000,8.577000, 4096.000000,100.800000,4096.000000,8192.000000,17.200000
CCS,0,50, 110.900000,84.128000,5.750000,11.572000,9.450000, 4096.000000,107.100000,4096.000000,8192.000000,17.000000
CCS,0,10, 114.314000,88.625000,5.832000,12.126000,7.731000, 4096.000000,120.900000,4096.000000,8192.000000,17.100000
CCS,0,22, 106.162000,82.871000,5.062000,11.195000,7.034000, 4096.000000,105.900000,4096.000000,8192.000000,17.000000
CCS,0,31, 101.979000,79.778000,4.532000,10.664000,7.005000, 4096.000000,90.400000,4096.000000,8192.000000,17.200000
CCS,0,15, 136.120000,106.889000,6.354000,13.326000,9.551000, 4096.000000,101.200000,4096.000000,8192.000000,17.100000
CCS,0,41, 123.607000,99.303000,5.385000,12.576000,6.343000, 4096.000000,105.300000,4096.000000,8192.000000,17.100000
CCS,0,48, 122.014000,93.733000,6.390000,13.036000,8.855000, 4096.000000,104.200000,4096.000000,8192.000000,17.200000
CCS,0,12, 98.993000,78.963000,4.123000,10.666000,5.241000, 4096.000000,79.200000,4096.000000,8192.000000,17.200000
CCS,0,6, 149.545000,117.086000,7.383000,15.082000,9.994000, 4096.000000,114.400000,4096.000000,8192.000000,17.400000
CCS,0,49, 113.911000,89.226000,5.332000,11.971000,7.382000, 4096.000000,105.400000,4096.000000,8192.000000,17.200000
CCS,0,27, 127.294000,100.649000,5.630000,13.025000,7.990000, 4096.000000,85.600000,4096.000000,8192.000000,17.000000
CCS,0,47, 106.306000,82.873000,4.645000,10.085000,8.703000, 4096.000000,93.300000,4096.000000,8192.000000,17.100000
CCS,0,45, 118.103000,92.848000,5.171000,11.981000,8.103000, 4096.000000,97.000000,4096.000000,8192.000000,17.300000
