Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
OPAM,GAP,47,0.006528,0.003486,0.891233,0.274245,0.019231,0.040816,0.057842,0.038462,0.040816
OPAM,GAP,48,0.005780,0.003590,0.891182,0.276876,0.019231,0.040816,0.055600,0.038462,0.040816
OPAM,GAP,49,0.006888,0.006164,0.886241,0.225969,0.009615,0.020408,0.021516,0.019231,0.020408
OPAM,GAP,50,0.011840,0.010801,0.881723,0.517622,0.000000,0.000000,0.070144,0.000000,0.000000
RS,GAP,1,0.074609,0.074406,0.657223,0.583985,0.000000,0.000000,0.044956,0.000000,0.000000
RS,GAP,2,0.056299,0.055947,0.669754,0.718407,0.000000,0.000000,0.098852,0.000000,0.000000
RS,GAP,3,0.067368,0.067256,0.640181,0.775167,0.000000,0.000000,0.078495,0.000000,0.000000
RS,GAP,4,0.095884,0.095726,0.604528,0.527772,0.000000,0.000000,0.038589,0.000000,0.000000
RS,GAP,5,0.076747,0.076592,0.658474,0.693078,0.000000,0.000000,0.076830,0.000000,0.000000
RS,GAP,6,0.068487,0.068384,0.637756,0.479800,0.000000,0.000000,0.044046,0.000000,0.000000
RS,GAP,7,0.065202,0.064774,0.609887,0.747401,0.000000,0.000000,0.067177,0.000000,0.000000
RS,GAP,8,0.104468,0.104423,0.605529,0.956636,0.000000,0.000000,0.105177,0.000000,0.000000
RS,GAP,9,0.063037,0.062931,0.638291,0.791663,0.000000,0.000000,0.049589,0.000000,0.000000
RS,GAP,10,0.073051,0.073044,0.608204,0.672690,0.000000,0.000000,0.053541,0.000000,0.000000
RS,GAP,11,0.069189,0.068715,0.596687,0.746137,0.000000,0.000000,0.084141,0.000000,0.000000
RS,GAP,12,0.070289,0.070158,0.601455,0.736951,0.000000,0.000000,0.041355,0.000000,0.000000
RS,GAP,13,0.067704,0.067496,0.621307,0.745126,0.000000,0.000000,0.089535,0.000000,0.000000
RS,GAP,14,0.082838,0.082653,0.600590,0.770502,0.000000,0.000000,0.151371,0.000000,0.000000
RS,GAP,15,0.095958,0.095958,0.662496,0.398909,0.000000,0.000000,0.021714,0.000000,0.000000
RS,GAP,16,0.089188,0.088979,0.607693,0.657029,0.000000,0.000000,0.110244,0.000000,0.000000
RS,GAP,17,0.062985,0.062840,0.628795,0.730343,0.000000,0.000000,0.059044,0.000000,0.000000
RS,GAP,18,0.082230,0.082230,0.603885,0.637111,0.000000,0.000000,0.059343,0.000000,0.000000
RS,GAP,19,0.071859,0.071651,0.632710,0.717135,0.000000,0.000000,0.094583,0.000000,0.000000
RS,GAP,20,0.064059,0.063883,0.671945,0.725219,0.000000,0.000000,0.109680,0.000000,0.000000
RS,GAP,21,0.069584,0.069279,0.601182,0.624496,0.000000,0.000000,0.060400,0.000000,0.000000
RS,GAP,22,0.069212,0.069093,0.652382,0.749521,0.000000,0.000000,0.109273,0.000000,0.000000
RS,GAP,23,0.072283,0.072025,0.636021,0.677306,0.000000,0.000000,0.033514,0.000000,0.000000
RS,GAP,24,0.079197,0.079082,0.658861,0.710925,0.000000,0.000000,0.092565,0.000000,0.000000
RS,GAP,25,0.109354,0.109249,0.597431,0.656856,0.000000,0.000000,0.083476,0.000000,0.000000
RS,GAP,26,0.108186,0.108115,0.595514,0.642878,0.000000,0.000000,0.059934,0.000000,0.000000
RS,GAP,27,0.063366,0.063121,0.622998,0.534759,0.000000,0.000000,0.065410,0.000000,0.000000
RS,GAP,28,0.083017,0.082863,0.614199,0.524218,0.000000,0.000000,0.032942,0.000000,0.000000
RS,GAP,29,0.068256,0.068083,0.606087,0.788155,0.000000,0.000000,0.097537,0.000000,0.000000
RS,GAP,30,0.081699,0.081613,0.603097,0.742006,0.000000,0.000000,0.082173,0.000000,0.000000
RS,GAP,31,0.079159,0.079088,0.614289,0.608170,0.000000,0.000000,0.049502,0.000000,0.000000
RS,GAP,32,0.086198,0.085371,0.623808,0.506166,0.000000,0.000000,0.062904,0.000000,0.000000
RS,GAP,33,0.073738,0.073625,0.653390,0.606539,0.000000,0.000000,0.067212,0.000000,0.000000
RS,GAP,34,0.059514,0.059502,0.645426,0.655751,0.000000,0.000000,0.044176,0.000000,0.000000
RS,GAP,35,0.082415,0.082415,0.590075,0.521387,0.000000,0.000000,0.028741,0.000000,0.000000
RS,GAP,36,0.084255,0.083935,0.590948,0.590840,0.000000,0.000000,0.040937,0.000000,0.000000
RS,GAP,37,0.093862,0.093585,0.608070,0.863020,0.000000,0.000000,0.173021,0.000000,0.000000
RS,GAP,38,0.058972,0.058968,0.672178,0.671602,0.000000,0.000000,0.099838,0.000000,0.000000
RS,GAP,39,0.076799,0.076542,0.589751,0.810457,0.000000,0.000000,0.110796,0.000000,0.000000
RS,GAP,40,0.054418,0.054031,0.666082,0.506414,0.000000,0.000000,0.052889,0.000000,0.000000
RS,GAP,41,0.075422,0.075189,0.694628,0.593683,0.000000,0.000000,0.061832,0.000000,0.000000
RS,GAP,42,0.076604,0.076417,0.600831,0.741511,0.000000,0.000000,0.095862,0.000000,0.000000
RS,GAP,43,0.076794,0.076632,0.608128,0.674609,0.000000,0.000000,0.054845,0.000000,0.000000
RS,GAP,44,0.068750,0.068750,0.700434,0.485142,0.000000,0.000000,0.103719,0.000000,0.000000
RS,GAP,45,0.111025,0.111015,0.613207,0.699177,0.000000,0.000000,0.112868,0.000000,0.000000
RS,GAP,46,0.079540,0.079538,0.600730,0.821405,0.000000,0.000000,0.126480,0.000000,0.000000
RS,GAP,47,0.066466,0.065957,0.660107,0.768207,0.000000,0.000000,0.122004,0.000000,0.000000
RS,GAP,48,0.065449,0.065105,0.626306,0.645837,0.000000,0.000000,0.069919,0.000000,0.000000
RS,GAP,49,0.073689,0.073437,0.601222,0.662526,0.000000,0.000000,0.088070,0.000000,0.000000
RS,GAP,50,0.074530,0.074467,0.628168,0.590378,0.000000,0.000000,0.049033,0.000000,0.000000
OPAM,ICS,1,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,2,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,3,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,4,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,5,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,6,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,7,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,8,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,9,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,10,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,11,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,12,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,13,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,14,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,15,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,16,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,17,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,18,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,19,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,20,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,21,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,22,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,23,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,24,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,25,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,26,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,27,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,28,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,29,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,30,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,31,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,32,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,33,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,34,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,35,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,36,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,37,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,38,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,39,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,40,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,41,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,42,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,43,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,44,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,45,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,46,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,47,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,48,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,49,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ICS,50,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,1,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,2,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ICS,3,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,4,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ICS,5,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,6,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,7,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,8,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,9,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,10,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,11,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,12,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,13,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,14,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,15,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,16,0.707107,0.707107,0.000000,0.414214,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ICS,17,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,18,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,19,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,20,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,21,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,22,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,23,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,24,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,25,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,26,0.707107,0.707107,0.000000,0.414214,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ICS,27,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,28,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,29,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,30,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,31,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,32,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,33,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,34,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,35,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,36,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,37,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,38,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,39,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,40,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,41,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,42,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,43,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,44,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,45,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,46,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ICS,47,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,48,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,49,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
RS,ICS,50,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,HPSS,1,0.008870,0.002529,0.974248,0.493470,0.048387,0.068966,0.049898,0.096774,0.068966
OPAM,HPSS,2,0.004772,0.004086,0.970311,0.482360,0.000000,0.000000,0.030946,0.000000,0.000000
OPAM,HPSS,3,0.006735,0.003813,0.971873,0.382709,0.032258,0.068966,0.038783,0.064516,0.068966
OPAM,HPSS,4,0.002365,0.002299,0.976720,0.568952,0.064516,0.137931,0.023130,0.129032,0.137931
OPAM,HPSS,5,0.005348,0.005289,0.963590,0.723620,0.000000,0.000000,0.024312,0.000000,0.000000
OPAM,HPSS,6,0.003638,0.001043,0.963024,0.878215,0.080645,0.172414,0.013901,0.161290,0.172414
OPAM,HPSS,7,0.005429,0.004446,0.966588,0.491230,0.000000,0.000000,0.034853,0.000000,0.000000
OPAM,HPSS,8,0.003065,0.002640,0.974411,0.556795,0.016129,0.034483,0.032292,0.032258,0.034483
OPAM,HPSS,9,0.010231,0.008802,0.962004,0.426245,0.000000,0.000000,0.036299,0.000000,0.000000
OPAM,HPSS,10,0.008421,0.004723,0.967734,0.542016,0.000000,0.000000,0.036124,0.000000,0.000000
OPAM,HPSS,11,0.017130,0.016129,0.967774,0.346825,0.000000,0.000000,0.055374,0.000000,0.000000
OPAM,HPSS,12,0.013605,0.009367,0.957313,0.456981,0.000000,0.000000,0.054255,0.000000,0.000000
OPAM,HPSS,13,0.003932,0.003733,0.970626,0.663279,0.000000,0.000000,0.030525,0.000000,0.000000
OPAM,HPSS,14,0.009663,0.007247,0.961789,0.497188,0.000000,0.000000,0.031903,0.000000,0.000000
OPAM,HPSS,15,0.004418,0.004178,0.972500,0.294364,0.000000,0.000000,0.031989,0.000000,0.000000
OPAM,HPSS,16,0.006146,0.005979,0.964758,0.516035,0.000000,0.000000,0.032843,0.000000,0.000000
OPAM,HPSS,17,0.007462,0.006637,0.966463,0.613165,0.000000,0.000000,0.028249,0.000000,0.000000
OPAM,HPSS,18,0.008228,0.004684,0.970205,0.438918,0.000000,0.000000,0.041731,0.000000,0.000000
OPAM,HPSS,19,0.004761,0.004045,0.971154,0.544366,0.000000,0.000000,0.050179,0.000000,0.000000
OPAM,HPSS,20,0.006242,0.006223,0.968329,0.708564,0.000000,0.000000,0.032169,0.000000,0.000000
OPAM,HPSS,21,0.006070,0.005553,0.970833,0.582624,0.000000,0.000000,0.028648,0.000000,0.000000
OPAM,HPSS,22,0.007055,0.006934,0.959720,0.538914,0.000000,0.000000,0.028846,0.000000,0.000000
OPAM,HPSS,23,0.005500,0.005338,0.962967,0.616587,0.000000,0.000000,0.034708,0.000000,0.000000
OPAM,HPSS,24,0.005873,0.004614,0.971742,0.549598,0.000000,0.000000,0.028438,0.000000,0.000000
OPAM,HPSS,25,0.009013,0.008232,0.969870,0.592971,0.000000,0.000000,0.044732,0.000000,0.000000
OPAM,HPSS,26,0.010372,0.009046,0.959050,0.326030,0.000000,0.000000,0.031913,0.000000,0.000000
OPAM,HPSS,27,0.004378,0.004188,0.969079,0.547265,0.000000,0.000000,0.025134,0.000000,0.000000
OPAM,HPSS,28,0.005575,0.004549,0.973252,0.408269,0.016129,0.034483,0.048572,0.032258,0.034483
OPAM,HPSS,29,0.002489,0.002003,0.980448,0.526095,0.064516,0.137931,0.024102,0.129032,0.137931
OPAM,HPSS,30,0.008266,0.007223,0.965579,0.496935,0.000000,0.000000,0.034415,0.000000,0.000000
OPAM,HPSS,31,0.005277,0.004466,0.969928,0.486606,0.016129,0.034483,0.031957,0.032258,0.034483
OPAM,HPSS,32,0.005364,0.004543,0.967024,0.416320,0.000000,0.000000,0.037741,0.000000,0.000000
OPAM,HPSS,33,0.004380,0.004144,0.970484,0.458072,0.000000,0.000000,0.036438,0.000000,0.000000
OPAM,HPSS,34,0.005429,0.002581,0.973995,0.519307,0.000000,0.000000,0.030005,0.000000,0.000000
OPAM,HPSS,35,0.006182,0.005452,0.964705,0.534826,0.000000,0.000000,0.037984,0.000000,0.000000
OPAM,HPSS,36,0.004252,0.002485,0.973955,0.469135,0.016129,0.034483,0.037329,0.032258,0.034483
OPAM,HPSS,37,0.008245,0.008230,0.955992,0.674246,0.000000,0.000000,0.024190,0.000000,0.000000
OPAM,HPSS,38,0.008660,0.008615,0.948231,0.819798,0.000000,0.000000,0.023299,0.000000,0.000000
OPAM,HPSS,39,0.006848,0.002710,0.974205,0.413699,0.000000,0.000000,0.042947,0.000000,0.000000
OPAM,HPSS,40,0.005318,0.004533,0.969026,0.421585,0.016129,0.034483,0.026729,0.032258,0.034483
OPAM,HPSS,41,0.005636,0.004372,0.968849,0.760085,0.000000,0.000000,0.030114,0.000000,0.000000
OPAM,HPSS,42,0.006073,0.003200,0.976166,0.494858,0.016129,0.034483,0.041250,0.032258,0.034483
OPAM,HPSS,43,0.009498,0.009157,0.957342,0.388223,0.000000,0.000000,0.029535,0.000000,0.000000
OPAM,HPSS,44,0.003718,0.003021,0.970383,0.474522,0.016129,0.034483,0.040141,0.032258,0.034483
OPAM,HPSS,45,0.006146,0.003743,0.970191,0.475952,0.000000,0.000000,0.038474,0.000000,0.000000
OPAM,HPSS,46,0.008212,0.004897,0.969779,0.367451,0.000000,0.000000,0.036660,0.000000,0.000000
OPAM,HPSS,47,0.008768,0.005800,0.967894,0.312213,0.000000,0.000000,0.049538,0.000000,0.000000
OPAM,HPSS,48,0.010325,0.005688,0.964262,0.384006,0.000000,0.000000,0.030667,0.000000,0.000000
OPAM,HPSS,49,0.004581,0.004340,0.971648,0.564070,0.064516,0.103448,0.034496,0.129032,0.103448
OPAM,HPSS,50,0.007114,0.004873,0.971308,0.636901,0.032258,0.068966,0.044287,0.064516,0.068966
RS,HPSS,1,0.119031,0.118618,0.539959,0.674346,0.000000,0.000000,0.046158,0.000000,0.000000
RS,HPSS,2,0.193307,0.193003,0.507690,0.716749,0.000000,0.000000,0.090071,0.000000,0.000000
RS,HPSS,3,0.133849,0.133759,0.484554,0.794576,0.000000,0.000000,0.148381,0.000000,0.000000
RS,HPSS,4,0.108094,0.108028,0.462353,0.791748,0.000000,0.000000,0.062797,0.000000,0.000000
RS,HPSS,5,0.147686,0.147595,0.477443,0.796801,0.000000,0.000000,0.141799,0.000000,0.000000
RS,HPSS,6,0.124464,0.124440,0.561807,0.911485,0.000000,0.000000,0.142749,0.000000,0.000000
RS,HPSS,7,0.117998,0.117419,0.494960,0.894964,0.000000,0.000000,0.071911,0.000000,0.000000
RS,HPSS,8,0.146244,0.145917,0.492009,0.773937,0.000000,0.000000,0.127697,0.000000,0.000000
RS,HPSS,9,0.153381,0.152833,0.483514,0.671521,0.000000,0.000000,0.091765,0.000000,0.000000
RS,HPSS,10,0.130063,0.129242,0.615249,0.752166,0.000000,0.000000,0.104667,0.000000,0.000000
RS,HPSS,11,0.159545,0.159426,0.468338,0.907980,0.000000,0.000000,0.128742,0.000000,0.000000
RS,HPSS,12,0.126166,0.125942,0.560268,0.768406,0.000000,0.000000,0.059358,0.000000,0.000000
RS,HPSS,13,0.126248,0.126060,0.558480,0.608822,0.000000,0.000000,0.068763,0.000000,0.000000
RS,HPSS,14,0.143237,0.142636,0.485099,0.720191,0.000000,0.000000,0.045700,0.000000,0.000000
RS,HPSS,15,0.130500,0.130403,0.494617,0.862473,0.000000,0.000000,0.151885,0.000000,0.000000
RS,HPSS,16,0.172285,0.172104,0.540700,0.485937,0.000000,0.000000,0.077681,0.000000,0.000000
RS,HPSS,17,0.151209,0.151200,0.452956,0.909080,0.000000,0.000000,0.104756,0.000000,0.000000
RS,HPSS,18,0.111146,0.110973,0.494319,0.764784,0.000000,0.000000,0.054398,0.000000,0.000000
RS,HPSS,19,0.101342,0.101306,0.544769,1.000996,0.000000,0.000000,0.116737,0.000000,0.000000
RS,HPSS,20,0.150001,0.149654,0.558138,0.578676,0.000000,0.000000,0.098913,0.000000,0.000000
RS,HPSS,21,0.122444,0.122407,0.502090,0.674628,0.000000,0.000000,0.056304,0.000000,0.000000
RS,HPSS,22,0.127493,0.127493,0.521637,0.816446,0.000000,0.000000,0.109361,0.000000,0.000000
RS,HPSS,23,0.142709,0.142709,0.494456,0.760830,0.000000,0.000000,0.087147,0.000000,0.000000
RS,HPSS,24,0.303580,0.303580,0.470797,0.780475,0.000000,0.000000,0.200883,0.000000,0.000000
RS,HPSS,25,0.174238,0.174169,0.485864,0.881514,0.000000,0.000000,0.110686,0.000000,0.000000
RS,HPSS,26,0.170342,0.170194,0.474913,0.699105,0.000000,0.000000,0.046533,0.000000,0.000000
RS,HPSS,27,0.104895,0.104620,0.480468,0.720512,0.000000,0.000000,0.048767,0.000000,0.000000
RS,HPSS,28,0.124778,0.124644,0.473955,0.951604,0.000000,0.000000,0.133183,0.000000,0.000000
RS,HPSS,29,0.147450,0.147199,0.503072,0.658622,0.000000,0.000000,0.037669,0.000000,0.000000
RS,HPSS,30,0.141650,0.141415,0.453083,0.821553,0.000000,0.000000,0.079941,0.000000,0.000000
RS,HPSS,31,0.149454,0.149454,0.533877,0.590875,0.000000,0.000000,0.052433,0.000000,0.000000
RS,HPSS,32,0.137888,0.137647,0.492053,0.670111,0.000000,0.000000,0.057763,0.000000,0.000000
RS,HPSS,33,0.142332,0.142267,0.520790,0.610030,0.000000,0.000000,0.052106,0.000000,0.000000
RS,HPSS,34,0.105836,0.105727,0.556245,0.752872,0.000000,0.000000,0.056813,0.000000,0.000000
RS,HPSS,35,0.166110,0.166110,0.518727,0.719002,0.000000,0.000000,0.071137,0.000000,0.000000
RS,HPSS,36,0.159583,0.159583,0.455215,0.670079,0.000000,0.000000,0.067352,0.000000,0.000000
RS,HPSS,37,0.149207,0.149197,0.476006,0.913725,0.000000,0.000000,0.099459,0.000000,0.000000
RS,HPSS,38,0.120955,0.120882,0.430635,0.716634,0.000000,0.000000,0.047872,0.000000,0.000000
RS,HPSS,39,0.149232,0.149231,0.494939,0.846121,0.000000,0.000000,0.069710,0.000000,0.000000
RS,HPSS,40,0.099926,0.099656,0.438662,0.911456,0.000000,0.000000,0.075304,0.000000,0.000000
RS,HPSS,41,0.158606,0.158427,0.490403,0.680665,0.000000,0.000000,0.056119,0.000000,0.000000
RS,HPSS,42,0.145481,0.145481,0.463174,0.738812,0.000000,0.000000,0.087151,0.000000,0.000000
RS,HPSS,43,0.139541,0.139531,0.493110,0.669081,0.000000,0.000000,0.049084,0.000000,0.000000
RS,HPSS,44,0.142387,0.142273,0.512016,0.586069,0.000000,0.000000,0.057787,0.000000,0.000000
RS,HPSS,45,0.141499,0.141395,0.445066,0.778963,0.000000,0.000000,0.082491,0.000000,0.000000
RS,HPSS,46,0.118221,0.118216,0.532235,0.736614,0.000000,0.000000,0.038052,0.000000,0.000000
RS,HPSS,47,0.128871,0.128485,0.511613,0.802313,0.000000,0.000000,0.121328,0.000000,0.000000
RS,HPSS,48,0.113211,0.113211,0.504489,0.958557,0.000000,0.000000,0.148479,0.000000,0.000000
