Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
RS,CCS,7,0.026541,0.023547,0.816901,0.872112,0.002551,0.111111,0.198072,0.264151,0.111111
RS,CCS,8,0.045658,0.041504,0.806232,0.439961,0.000000,0.000000,0.074783,0.000000,0.000000
RS,CCS,9,0.029854,0.026210,0.861080,0.700252,0.002304,0.111111,0.097945,0.184906,0.111111
RS,CCS,10,0.049959,0.049196,0.818435,0.289655,0.000000,0.000000,0.053539,0.000000,0.000000
RS,CCS,11,0.023720,0.014951,0.833492,0.465981,0.001901,0.111111,0.201536,0.011321,0.111111
RS,CCS,12,0.036650,0.029982,0.828112,0.270219,0.000000,0.000000,0.048635,0.000000,0.000000
RS,CCS,13,0.030923,0.027167,0.838433,0.441141,0.000000,0.000000,0.132917,0.000000,0.000000
RS,CCS,14,0.033072,0.027317,0.838536,0.614079,0.000000,0.000000,0.100332,0.000000,0.000000
RS,CCS,15,0.045510,0.041189,0.825903,0.261159,0.000000,0.000000,0.047809,0.000000,0.000000
RS,CCS,16,0.034885,0.029786,0.814720,0.378280,0.000000,0.000000,0.058094,0.000000,0.000000
RS,CCS,17,0.036084,0.035121,0.833446,0.244404,0.000000,0.000000,0.016052,0.000000,0.000000
RS,CCS,18,0.038512,0.036412,0.829899,0.628062,0.000000,0.000000,0.118794,0.000000,0.000000
RS,CCS,19,0.036197,0.032336,0.813794,0.539128,0.000000,0.000000,0.077693,0.000000,0.000000
RS,CCS,20,0.027566,0.023556,0.807505,0.538503,0.000000,0.000000,0.166402,0.000000,0.000000
RS,CCS,21,0.034927,0.034490,0.816526,0.445736,0.000000,0.000000,0.127393,0.000000,0.000000
RS,CCS,22,0.046906,0.045685,0.783418,0.343144,0.000000,0.000000,0.065479,0.000000,0.000000
RS,CCS,23,0.062959,0.062357,0.797483,0.393968,0.000000,0.000000,0.123667,0.000000,0.000000
RS,CCS,24,0.052309,0.047757,0.759031,0.700338,0.002732,0.111111,0.283549,0.313208,0.111111
RS,CCS,25,0.046396,0.045148,0.801235,0.681082,0.000000,0.000000,0.074684,0.000000,0.000000
RS,CCS,26,0.066759,0.061728,0.780236,0.580161,0.000000,0.000000,0.152350,0.000000,0.000000
RS,CCS,27,0.029819,0.029819,0.825669,0.145967,0.000000,0.000000,0.069417,0.000000,0.000000
RS,CCS,28,0.040497,0.036942,0.829796,0.331783,0.000000,0.000000,0.038379,0.000000,0.000000
RS,CCS,29,0.038418,0.036189,0.800253,0.574656,0.000000,0.000000,0.130923,0.000000,0.000000
RS,CCS,30,0.062030,0.060898,0.762343,0.350111,0.000000,0.000000,0.106939,0.000000,0.000000
RS,CCS,31,0.025980,0.020935,0.836758,0.594466,0.002304,0.111111,0.278380,0.184906,0.111111
RS,CCS,32,0.042852,0.037592,0.770082,0.576884,0.000000,0.000000,0.224292,0.000000,0.000000
RS,CCS,33,0.022294,0.018603,0.831902,0.809071,0.002732,0.111111,0.260424,0.313208,0.111111
RS,CCS,34,0.055545,0.052854,0.794666,0.416293,0.000000,0.000000,0.131481,0.000000,0.000000
RS,CCS,35,0.063502,0.063103,0.810284,0.562956,0.002551,0.111111,0.168809,0.264151,0.111111
RS,CCS,36,0.045263,0.040974,0.812268,0.394047,0.000000,0.000000,0.254835,0.000000,0.000000
RS,CCS,37,0.051032,0.049564,0.774396,0.496479,0.000000,0.000000,0.107979,0.000000,0.000000
RS,CCS,38,0.046892,0.045332,0.815768,0.693206,0.000000,0.000000,0.157414,0.000000,0.000000
RS,CCS,39,0.046125,0.043224,0.821280,0.379913,0.000000,0.000000,0.060468,0.000000,0.000000
RS,CCS,40,0.039180,0.039024,0.807290,0.376281,0.000000,0.000000,0.053764,0.000000,0.000000
RS,CCS,41,0.020450,0.011105,0.835663,0.676062,0.000000,0.000000,0.190707,0.000000,0.000000
RS,CCS,42,0.039609,0.036648,0.829197,0.741329,0.000000,0.000000,0.105352,0.000000,0.000000
RS,CCS,43,0.033074,0.032447,0.771917,0.570137,0.000000,0.000000,0.167996,0.000000,0.000000
RS,CCS,44,0.040831,0.029939,0.827840,0.336548,0.000000,0.000000,0.059932,0.000000,0.000000
RS,CCS,45,0.024236,0.020799,0.815291,0.897871,0.002732,0.111111,0.285233,0.313208,0.111111
RS,CCS,46,0.028281,0.025562,0.831948,0.692412,0.002128,0.111111,0.134523,0.116981,0.111111
RS,CCS,47,0.053860,0.052761,0.801666,0.664652,0.000000,0.000000,0.173614,0.000000,0.000000
RS,CCS,48,0.068827,0.068166,0.791961,0.562777,0.000000,0.000000,0.221667,0.000000,0.000000
RS,CCS,49,0.040637,0.040003,0.804249,0.477829,0.000000,0.000000,0.068430,0.000000,0.000000
RS,CCS,50,0.049463,0.048261,0.770522,0.207910,0.000000,0.000000,0.030384,0.000000,0.000000
OPAM,ESAIL,1,0.000323,0.000323,0.999677,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,2,0.000050,0.000050,0.999930,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,3,0.000204,0.000204,0.999796,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,4,0.000046,0.000046,0.999909,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,5,0.000041,0.000041,0.999930,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,6,0.000035,0.000035,0.999965,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,7,0.000002,0.000002,0.999993,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,8,0.000126,0.000126,0.999874,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,9,0.000014,0.000014,0.999986,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,10,0.000091,0.000091,0.999909,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,11,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ESAIL,12,0.000015,0.000015,0.999979,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,13,0.000119,0.000119,0.999881,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
