Variable,Index,Run,Cycle,Iteration,Distance,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdingDistance
CCS,0,14,1000,2,2.392804e+01,3,1452,-2.390363e+01,-11.0,1,0,Infinity
CCS,0,14,1000,2,2.392804e+01,4,1400,-2.390363e+01,-11.0,1,0,Infinity
CCS,0,14,1000,2,2.392804e+01,5,808,-2.390713e+01,-7.0,2,0,0.9834179330032137
CCS,0,48,0,0,2.418208e+01,8,1,-2.396809e+01,-21.0,0,3,Infinity
CCS,0,48,1000,2,2.399064e+01,0,9042,-2.392242e+01,6.0,4,0,Infinity
CCS,0,48,1000,2,2.399064e+01,1,8737,-2.390472e+01,-12.0,1,0,0.504979789774711
CCS,0,48,1000,2,2.399064e+01,2,5781,-2.390713e+01,-8.0,2,0,0.5449838326081609
CCS,0,48,1000,2,2.399064e+01,3,5033,-2.390795e+01,-4.0,2,0,0.539721199139192
CCS,0,48,1000,2,2.399064e+01,4,3189,-2.390462e+01,-16.0,1,0,Infinity
CCS,0,48,1000,2,2.399064e+01,5,2024,-2.392242e+01,6.0,4,0,Infinity
CCS,0,48,1000,2,2.399064e+01,6,367,-2.390946e+01,1.0,3,0,0.31201836509590225
CCS,0,48,1000,2,2.399064e+01,7,2195,-2.390946e+01,1.0,3,0,0.955299011086097
CCS,0,46,0,0,2.400966e+01,5,1,-2.396809e+01,-21.0,0,2,Infinity
CCS,0,46,1000,2,2.399200e+01,0,9629,-2.390788e+01,-10.0,2,0,0.7001780405386175
CCS,0,46,1000,2,2.399200e+01,1,9362,-2.390849e+01,-4.0,2,0,0.666186301666639
CCS,0,46,1000,2,2.399200e+01,2,8070,-2.390371e+01,-12.0,2,0,Infinity
CCS,0,46,1000,2,2.399200e+01,3,7562,-2.392242e+01,6.0,4,0,Infinity
CCS,0,46,1000,2,2.399200e+01,4,5955,-2.390892e+01,1.0,3,0,1.2998219594613825
CCS,0,46,1000,2,2.399200e+01,5,1798,-2.392242e+01,6.0,4,0,Infinity
CCS,0,41,0,0,2.397999e+01,7,1,-2.396809e+01,-21.0,0,2,2.0
CCS,0,41,1000,2,2.392804e+01,0,6308,-2.390946e+01,1.0,3,0,1.4822882828005448
CCS,0,41,1000,2,2.392804e+01,1,2407,-2.392317e+01,6.0,4,0,Infinity
CCS,0,41,1000,2,2.392804e+01,2,1551,-2.390570e+01,-10.0,2,0,0.5177117171994552
CCS,0,41,1000,2,2.392804e+01,3,1239,-2.390308e+01,-13.0,1,0,Infinity
CCS,0,41,1000,2,2.392804e+01,4,621,-2.390713e+01,-7.0,2,0,0.7661934038553987
CCS,0,15,0,0,2.399500e+01,8,1,-2.396809e+01,-21.0,0,2,Infinity
CCS,0,15,1000,2,2.392965e+01,0,8820,-2.392292e+01,6.0,4,0,Infinity
CCS,0,15,1000,2,2.392965e+01,1,6964,-2.390417e+01,-18.0,1,0,Infinity
CCS,0,15,1000,2,2.392965e+01,2,6463,-2.390892e+01,2.0,3,0,0.17556913711191208
CCS,0,15,1000,2,2.392965e+01,3,5756,-2.390875e+01,-7.0,3,0,0.47164480842395157
CCS,0,15,1000,2,2.392965e+01,4,5746,-2.390892e+01,2.0,3,0,1.1216913090973888
CCS,0,15,1000,2,2.392965e+01,5,4421,-2.390630e+01,-11.0,1,0,0.3086214749277232
CCS,0,15,1000,2,2.392965e+01,6,2395,-2.390788e+01,-8.0,2,0,0.29733739120337777
CCS,0,15,1000,2,2.392965e+01,7,2034,-2.390472e+01,-15.0,1,0,0.30637574088426967
CCS,0,15,1000,2,2.392965e+01,8,303,-2.390522e+01,-12.0,3,0,0.25076725212217926
CCS,0,12,0,0,2.428688e+01,6,1,-2.396809e+01,-21.0,0,2,Infinity
CCS,0,12,1000,2,2.390888e+01,0,9470,-2.390888e+01,-6.0,2,0,0.48350978600743266
CCS,0,12,1000,2,2.390888e+01,1,9188,-2.390888e+01,-6.0,2,0,0.1303006458474859
CCS,0,12,1000,2,2.390888e+01,2,4203,-2.390411e+01,-15.0,1,0,0.18593666510730272
CCS,0,12,1000,2,2.390888e+01,3,4197,-2.390516e+01,-9.0,2,0,0.561857402245224
CCS,0,12,1000,2,2.390888e+01,4,4044,-2.390898e+01,1.0,4,0,1.0320862041743541
CCS,0,12,1000,2,2.390888e+01,5,4006,-2.392346e+01,6.0,4,0,Infinity
CCS,0,12,1000,2,2.390888e+01,6,96,-2.390408e+01,-18.0,1,0,Infinity
CCS,0,12,1000,2,2.390888e+01,7,3438,-2.392242e+01,2.0,4,0,0.9552386201333207
CCS,0,12,1000,2,2.390888e+01,8,508,-2.390445e+01,-14.0,2,0,0.30440457000998417
CCS,0,24,0,0,2.427025e+01,7,1,-2.396809e+01,-21.0,0,3,Infinity
CCS,0,24,1000,2,2.399129e+01,0,7929,-2.392242e+01,6.0,4,0,Infinity
CCS,0,24,1000,2,2.399129e+01,1,6004,-2.390528e+01,-10.0,1,0,0.3646256367971742
CCS,0,24,1000,2,2.399129e+01,2,5111,-2.392242e+01,6.0,4,0,0.0
CCS,0,24,1000,2,2.399129e+01,3,3001,-2.390308e+01,-14.0,1,0,Infinity
CCS,0,24,1000,2,2.399129e+01,4,2420,-2.390363e+01,-11.0,1,0,0.3137009978165301
CCS,0,24,1000,2,2.399129e+01,5,2339,-2.390778e+01,-8.0,2,0,0.44167182118775883
CCS,0,24,1000,2,2.399129e+01,6,1280,-2.390802e+01,-4.0,3,0,0.5085558269083447
CCS,0,24,1000,2,2.399129e+01,7,726,-2.392242e+01,6.0,4,0,Infinity
CCS,0,24,1000,2,2.399129e+01,8,85,-2.390892e+01,1.0,3,0,1.2446271809957112
CCS,0,23,0,0,2.405661e+01,7,1,-2.396809e+01,-21.0,0,3,Infinity
CCS,0,23,1000,2,2.399146e+01,0,9448,-2.390363e+01,-12.0,1,0,0.24597887256290912
CCS,0,23,1000,2,2.399146e+01,1,7681,-2.390472e+01,-11.0,1,0,0.17067921457946356
CCS,0,23,1000,2,2.399146e+01,2,6702,-2.390898e+01,2.0,4,0,1.2482268643584775
CCS,0,23,1000,2,2.399146e+01,3,6363,-2.392346e+01,6.0,4,0,Infinity
CCS,0,23,1000,2,2.399146e+01,4,2670,-2.390795e+01,-4.0,2,0,0.787539501695298
CCS,0,23,1000,2,2.399146e+01,5,1799,-2.390510e+01,-10.0,1,0,0.5057942630786134
CCS,0,23,1000,2,2.399146e+01,6,1159,-2.390273e+01,-14.0,1,0,Infinity
CCS,0,1,0,0,2.414751e+01,8,1,-2.396809e+01,-21.0,0,3,Infinity
CCS,0,1,1000,2,2.390840e+01,0,8918,-2.390417e+01,-18.0,1,0,Infinity
CCS,0,1,1000,2,2.390840e+01,1,5303,-2.390898e+01,-1.0,4,0,1.2102142060429273
CCS,0,1,1000,2,2.390840e+01,2,4804,-2.390624e+01,-9.0,2,0,0.41570314441992995
CCS,0,1,1000,2,2.390840e+01,3,4083,-2.390888e+01,-5.0,2,0,0.23879182322424633
CCS,0,1,1000,2,2.390840e+01,4,3575,-2.392317e+01,6.0,4,0,Infinity
CCS,0,1,1000,2,2.390840e+01,5,3263,-2.390446e+01,-11.0,2,0,0.4842593532037766
CCS,0,1,1000,2,2.390840e+01,6,2153,-2.390840e+01,-6.0,3,0,0.305526440753296
CCS,0,39,0,0,2.401081e+01,9,1,-2.396809e+01,-21.0,0,3,Infinity
CCS,0,39,1000,2,2.399073e+01,0,9823,-2.390849e+01,-4.0,2,0,0.5907331304260621
CCS,0,39,1000,2,2.399073e+01,1,9777,-2.390898e+01,2.0,4,0,0.9994549010590853
CCS,0,39,1000,2,2.399073e+01,2,7978,-2.390722e+01,-8.0,3,0,0.4060084614702793
CCS,0,39,1000,2,2.399073e+01,3,7760,-2.390892e+01,1.0,3,0,0.078144836180075
CCS,0,39,1000,2,2.399073e+01,4,2387,-2.392242e+01,6.0,4,0,Infinity
CCS,0,39,1000,2,2.399073e+01,5,2213,-2.390892e+01,1.0,3,0,0.28136888811468586
CCS,0,39,1000,2,2.399073e+01,6,1929,-2.390713e+01,-10.0,2,0,0.19276377769730185
CCS,0,39,1000,2,2.399073e+01,7,902,-2.390371e+01,-12.0,2,0,Infinity
CCS,0,39,1000,2,2.399073e+01,8,81,-2.390673e+01,-11.0,1,0,0.2941695790683382
CCS,0,6,0,0,2.394193e+01,7,1,-2.396809e+01,-21.0,0,2,Infinity
CCS,0,6,1000,2,2.392900e+01,0,6673,-2.390350e+01,-14.0,1,0,Infinity
CCS,0,6,1000,2,2.392900e+01,1,1210,-2.393501e+01,6.0,5,0,Infinity
CCS,0,6,1000,2,2.392900e+01,2,443,-2.393501e+01,6.0,5,0,Infinity
CCS,0,6,1000,2,2.392900e+01,3,6522,-2.392195e+01,2.0,3,0,1.1108412662121063
CCS,0,6,1000,2,2.392900e+01,4,4692,-2.390946e+01,0.0,3,0,0.4964236013395502
